,price,production_year,size,color,material,acc_included,condition_ext,other_defects,has_smell,has_chain,has_logo,has_quilts,bag_style,brand
0,2155,2015-2020,mini,blue,tweed,2,excellent,0.0,0.0,1.0,1.0,0.0,woc,Chanel
1,2395,2015-2020,mini,black,tweed,4,excellent,0.0,0.0,1.0,1.0,0.0,woc,Chanel
2,1295,2010-2015,mini,blue,caviar,2,good,0.0,0.0,1.0,0.0,0.0,woc,Chanel
3,2515,2015-2020,mini,red,caviar,3,like_new,0.0,0.0,1.0,1.0,1.0,woc,Chanel
4,1705,0,mini,red,caviar,0,good,1.0,0.0,1.0,1.0,1.0,woc,Chanel
5,2035,2010-2015,mini,red,caviar,4,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
6,1800,2015-2020,mini,red,caviar,3,fair,0.0,0.0,1.0,1.0,1.0,woc,Chanel
7,1850,2010-2015,mini,red,caviar,3,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
8,1795,2010-2015,mini,red,lambskin,2,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
9,1525,0,mini,red,lambskin,3,good,1.0,0.0,1.0,1.0,1.0,woc,Chanel
10,1650,0,mini,red,lambskin,3,good,0.0,1.0,1.0,1.0,1.0,woc,Chanel
11,3705,2015-2020,mini,black,exotic,3,excellent,0.0,0.0,1.0,1.0,0.0,woc,Chanel
12,1565,2010-2015,mini,black,patent,2,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
13,2465,2010-2015,mini,red,caviar,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
14,1185,0,small,red,lambskin,0,good,0.0,0.0,1.0,1.0,0.0,woc,Chanel
15,1975,2000-2010,mini,black,lambskin,4,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
16,1750,0,mini,black,lambskin,3,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
17,3995,2015-2020,mini,red,lambskin,4,like_new,0.0,0.0,1.0,1.0,1.0,woc,Chanel
18,2795,2010-2015,mini,beige,caviar,4,excellent,0.0,0.0,1.0,0.0,1.0,woc,Chanel
19,1195,1990s,mini,beige,caviar,3,good,0.0,0.0,1.0,1.0,0.0,woc,Chanel
20,1705,2010-2015,mini,black,lambskin,3,good,1.0,0.0,1.0,1.0,1.0,woc,Chanel
21,3910,2015-2020,mini,black,lambskin,3,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
22,2275,2015-2020,mini,blue,lambskin,4,like_new,0.0,0.0,1.0,1.0,1.0,woc,Chanel
23,1595,2010-2015,mini,black,lambskin,0,fair,1.0,0.0,1.0,1.0,1.0,woc,Chanel
24,1745,0,mini,pink,lambskin,4,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
25,2115,0,mini,red,caviar,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
26,2465,2015-2020,mini,black,caviar,3,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
27,1450,2010-2015,mini,red,caviar,3,good,0.0,0.0,1.0,1.0,0.0,woc,Chanel
28,1995,2015-2020,mini,pink,lambskin,4,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
29,2465,2015-2020,mini,pink,lambskin,3,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
30,2395,0,mini,pink,caviar,0,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
31,1810,2015-2020,mini,blue,lambskin,4,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
32,1370,2010-2015,mini,blue,lambskin,2,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
33,2245,2015-2020,mini,red,caviar,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
34,1595,2010-2015,mini,pink,caviar,0,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
35,2245,2015-2020,mini,metallic,caviar,4,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
36,2595,2015-2020,mini,blue,caviar,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
37,2015,2015-2020,mini,red,caviar,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
38,1895,2010-2015,mini,red,lambskin,2,good,0.0,1.0,1.0,1.0,1.0,woc,Chanel
39,1345,2010-2015,mini,pink,caviar,0,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
40,2340,2015-2020,mini,green,caviar,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
41,1165,2010-2015,mini,pink,lambskin,3,good,0.0,0.0,1.0,1.0,0.0,woc,Chanel
42,1480,2010-2015,mini,black,lambskin,2,good,0.0,0.0,1.0,1.0,0.0,woc,Chanel
43,2450,2015-2020,mini,black,caviar,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
44,2670,2015-2020,mini,black,lambskin,3,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
45,2995,2015-2020,mini,black,lambskin,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
46,1810,2015-2020,mini,black,lambskin,0,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
47,2675,0,mini,black,lambskin,0,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
48,2465,0,mini,black,lambskin,4,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
49,1305,2015-2020,mini,blue,lambskin,3,good,0.0,0.0,1.0,1.0,1.0,woc,Chanel
50,2650,2015-2020,mini,beige,caviar,4,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
51,2450,2015-2020,mini,black,lambskin,2,excellent,0.0,0.0,1.0,0.0,1.0,woc,Chanel
52,2675,2015-2020,mini,pink,lambskin,4,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
53,2605,2010-2015,mini,metallic,lambskin,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
54,2180,2010-2015,mini,black,patent,3,excellent,0.0,0.0,1.0,0.0,1.0,woc,Chanel
55,4735,2015-2020,mini,metallic,caviar,4,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
56,2295,2015-2020,mini,black,lambskin,4,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
57,1945,2015-2020,mini,blue,fabric,2,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
58,1230,2000-2010,mini,green,lambskin,2,excellent,0.0,0.0,1.0,0.0,1.0,woc,Chanel
59,2420,2015-2020,mini,black,lambskin,4,excellent,0.0,0.0,1.0,1.0,1.0,woc,Chanel
60,3225,2015-2020,mini,metallic,caviar,4,like_new,0.0,0.0,1.0,1.0,1.0,woc,Chanel
61,3395,2015-2020,mini,metallic,lambskin,4,like_new,0.0,0.0,1.0,0.0,0.0,woc,Chanel
62,2785,2015-2020,mini,metallic,lambskin,4,like_new,0.0,0.0,1.0,0.0,0.0,woc,Chanel
63,3295,0,mini,metallic,lambskin,4,like_new,0.0,0.0,1.0,1.0,0.0,woc,Chanel
64,1215,2000-2010,xlarge,black,caviar,2,good,0.0,0.0,0.0,1.0,0.0,tote,Chanel
65,955,2000-2010,large,black,caviar,1,fair,0.0,0.0,0.0,1.0,0.0,tote,Chanel
66,935,1990s,large,black,caviar,2,good,0.0,0.0,0.0,1.0,0.0,tote,Chanel
67,1450,1990s,xlarge,yellow,caviar,3,good,0.0,0.0,0.0,1.0,0.0,tote,Chanel
68,495,2000-2010,large,black,fabric,0,good,0.0,0.0,0.0,0.0,0.0,tote,Chanel
69,1795,2000-2010,medium,black,caviar,0,good,0.0,0.0,1.0,1.0,1.0,tote,Chanel
70,805,1990s,large,black,patent,3,good,0.0,0.0,1.0,0.0,1.0,tote,Chanel
71,800,2010-2015,small,white,tweed,0,excellent,0.0,0.0,1.0,1.0,0.0,tote,Chanel
