prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
CHANEL Quilted CC Chain Shoulder Bag BK Caviar Skin Leather,/collections/chanel/products/ao00006,298000,3067681,"W 12 x H 10.0 x D 3.0 ""

Strap Drop. 20.9 """, Black / Caviar Skin Leather,"Authenticity Seal, Authenticity Card, Dust Bag, Box","There is a Scuff, good condition","There is a Wrinkle, Dirt, use",-,-,AO00006
CHANEL Quilted Chain 2way Hand Bag Beige,/collections/chanel/products/ao23462,328000,1210147,"W 7.7 x H 5.9 x D 2.2 ""

Handle Drop. 1.2 ""

Strap Drop. 20.9 """,Beige/ Leather,"Authenticity Seal, Authenticity Card, Shoulder Strap",Good Condition,Good Condition,-,-,AO23462
CHANEL Quilted Chain Belt Attachment Pouch Black,/collections/chanel/products/ao23074,228000,,"W 3.5 x H 3.1 x D 1.6 ""

Strap Drop : 3.5 """,Black/ Leather,Box,Good Condition,"There is sign of use overall

Edge: Minor torn",-,-,AO23074
CHANEL Quilted Cosmetic Vanity Hand Bag Black,/collections/chanel/products/ao21157,98000,4268626,"W 5.9 x H 6.7 x D 4.7 ""

Handle Drop. 1.2 """,Black/ Leather,"Authenticity Seal, Dust Bag, Box","Excellent Condition

Scratches",Excellent Condition,-,-,AO21157
CHANEL Mademoiselle Classic Flap Mini Square Shoulder Bag Red Caviar,/collections/chanel/products/ao11085,698000,2838869,"W 6.7 x H 5.5 x D 2.4 ""
Strap Drop. 20.1 ""","Red
/ Caviar Skin Leather",Authenticity Seal,"Though there is a little feeling of used, good condition.",Though there is a little feeling of used,-,-,AO11085
CHANEL Quilted Fringe Chain Shoulder Bag Black,/collections/chanel/products/ao09352,298000,2560690,"W 10.6 x H 7.9 x D 2.8 ""

Shoulder Drop. 19.7 ""","Black
/ Caviar Skin",Authenticity Seal,"There is sign of used overall.

Leather part of strap has torn.",Though there is a little feeling of used and minor dirt,-,Smell of perfume.,AO09352
CHANEL Quilted Classic Flap Mini Square Shoulder Bag Black,/collections/chanel/products/ao09349,348000,2252498,"W 6.9 x H 5.3 x D 2.4 ""

Strap Drop. 20.9 ""","Black
/ Leather",Authenticity Seal,"Though there is a little feeling of used, good condition.",Though there is a little feeling of used and mold stain.,-,-,AO09349
CHANEL Quilted Classic Flap Maxi Shoulder Bag Leather Bronze,/collections/chanel/products/ao00008,368000,2422036,"W 14 x H 10.0 x D 4.0 """,bronze/ Leather,"Shop Seal, Authenticity Seal, Dust Bag, Box",Good,Good,-,There is a Little smell of material.,AO00008
CHANEL Cosmos Line Quilted CC Cosmetic Hand Bag Black,/collections/chanel/products/ao25207,79800,3930071,"W 7.9 x H 4.3 x D 5.5 ""

Handle Drop. 1.2 ""","Black
/
Leather","Authenticity Seal, Authenticity Card","Good condition

Scratch","Good condition

Dirt",-,-,AO25207
CHANEL Quilted CC Chain Shoulder Tote Bag Black Caviar,/collections/chanel/products/ao25205,168000,3773246,"W 10.6 x H 7.5 x D 4.3 ""

Shoulder Drop. 8.7 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card","Good condition

Side button: crack",Good condition,-,-,AO25205
CHANEL Quilted CC Single Chain Mini Shoulder Bag Silver,/collections/chanel/products/ao25204,398000,1445951,"W 5.5 x H 4.1 x D 1.2 ""

Strap Drop. 20.9 ""","Silver
/
Leather",Authenticity Seal,"Good condition

Scratch","Good condition

Scratch",-,-,AO25204
CHANEL Quilted CC Cross Body Shoulder Bag Gold,/collections/chanel/products/ao25203,248000,2319825,"W 6.3 x H 4.9 x D 2.4 ""

Strap Drop. 19.7 ""","Gold
/
Leather","Authenticity Seal, Authenticity Card, Dust Bag",Good condition,"Good condition

minor pen mark",Pocket has pen mark,-,AO25203
CHANEL Quilted CC Single Chain Shoulder Bag Bronze,/collections/chanel/products/ao25201,268000,1622695,"W 8.5 x H 6.1 x D 2.8 ""

Shoulder Drop. 20.1 ""","Bronze
/
Leather",Authenticity Seal,Good condition,Good condition,-,-,AO25201
CHANEL Plastic Chain Shoulder Bag Brown,/collections/chanel/products/ao25280,168000,5115869,"W 10.6 x H 9.1 x D 3.1 ""

Strap Drop. 11.4 ""","Brown
/
Leather, Plastic","Authenticity Seal, Authenticity Card, Manual, Shop Seal, Dust Bag",Good condition,Good condition,-,-,AO25280
CHANEL Single Chain Shoulder Bag Gold,/collections/chanel/products/ao25279,598000,7027102,"W 7.1 x H 4.7 x D 2.2 ""

Shoulder Drop. 20.9 ""","Gold
/
Leather","Authenticity Seal, Authenticity Card, Manual, Shop Seal, Dust Bag, Box",Good condition,"Good condition

minor scratches",-,-,AO25279
CHANEL Fringe Single Chain Shoulder Bag Beige Caviar,/collections/chanel/products/ao25278,328000,2445254,"W 10.6 x H 7.9 x D 2.8 ""

Shoulder Drop. 19.7 ""","Beige
/
Caviar Skin Leather","Authenticity Seal, Shop Seal, Dust Bag",Good condition,Good condition,Pocket has many stains.(Outside),-,AO25278
CHANEL Double Chain Shoulder Bag Black,/collections/chanel/products/ao25270,328000,4105634,"W 9.8 x H 6.7 x D 2.4 ""

Strap Drop.(Single) 16.1 ""

Strap Drop.(Double) 9.1 ""","Black
/
Leather","Authenticity Seal, Authenticity Card",Good condition,Good condition,-,-,AO25270
CHANEL Single Chain Shoulder Bag Black,/collections/chanel/products/ao25267,268000,3383701,"W 9.8 x H 8.3 x D 3.5 ""

Strap Drop. 18.1 ""","Black
/
Patent Leather","Authenticity Seal, Authenticity Card, Manual, Dust Bag",Good condition,Good condition,-,-,AO25267
CHANEL Waist Bum Bag Brown Caviar Skin,/collections/chanel/products/ao25264,298000,3487781,"W 5.5 x H 6.3 x D 1.6 ""

Belt Size. 27.6 - 29.9 ""

#30/75","Brown
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Manual, Dust Bag","There is sign of use overall.

Cushioning material between leather and leather has been shattered because of deterioration.",Good condition,-,-,AO25264
CHANEL Chain Shoulder Tote Bag Indigo Denim,/collections/chanel/products/ao25262,348000,5257003,"W 8.7 x H 9.4 x D 3.5 ""

Shoulder Drop. 9.1 ""","Indigo
/
Denim",Authenticity Seal,There is sign of use overall.,"There is sign of use overall.

scratches",-,-,AO25262
CHANEL Wild Stitches Chain Hand Bag Black,/collections/chanel/products/ao25261,248000,,"W 9.4 x H 5.9 x D 4.7 ""

Handle Drop. 5.9 ""","Black
/
Leather",Authenticity Seal,Good condition,Good condition,-,-,AO25261
CHANEL Cosmetic Vanity Hand Bag Bordeaux Caviar Skin,/collections/chanel/products/ao25259,89800,3893875,"W 7.9 x H 4.3 x D 5.5 ""

Handle Drop. 1.2 ""","Bordeaux
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Shop Seal, Dust Bag",Good condition,"Good condition

Pocket side: torn",-,-,AO25259
CHANEL Hand Bag Black Velvet,/collections/chanel/products/ao25257,268000,4993913,"W 6.3 x H 5.5 x D 2.8 ""

Shoulder Drop. 2.8 ""","Black
/
Velvet","Authenticity Seal, Authenticity Card, Shop Seal, Dust Bag",Excellent condition,"Good condition

scratches",-,-,AO25257
CHANEL Chain Hand Bag Black Velvet,/collections/chanel/products/ao25256,228000,7615028,"W 8.7 x H 5.1 x D 2.0 ""

Handle Drop. 5.5 ""","Black
/
Velvet","Authenticity Seal, Manual, Shop Seal, Dust Bag, Box",Good condition,Good condition,-,-,AO25256
CHANEL Quilted Fringe CC Single Chain Shoulder Bag Black,/collections/chanel/products/ao25167,348000,2935110,"W 7.1 x H 5.1 x D 3.1 ""

Strap Drop. 20.9 ""","Black
/
Leather","Authenticity Seal, Dust Bag",Good condition,Good condition,-,-,AO25167
CHANEL Classic Flap Maxi Chain Shoulder Bag Black,/collections/chanel/products/ao25165,398000,2535998,"W 13.2 x H 9.1 x D 3.9 ""

Strap Drop.(Single) 23.6 ""

Strap Drop.(Double) 12.6 ""","Black
/
Leather","Authenticity Seal, Authenticity Card, Manual, Dust Bag",Good condition,Good condition,-,-,AO25165
CHANEL Classic Double Flap Medium Chain Shoulder Bag Beige,/collections/chanel/products/ao25164,348000,12173108,"W 9.8 x H 6.3 x D 2.6 ""

Strap Drop.(Single) 16.1 ""

Strap Drop.(Double) 9.1 ""","Beige
/
Leather","Authenticity Seal, Authenticity Seal, Manual, Dust Bag, Box",Good condition,"Good condition

scratches",-,-,AO25164
CHANEL Classic Flap Jumbo Chain Shoulder Bag Black Caviar Skin,/collections/chanel/products/ao25162,498000,6710331,"W 11.8 x H 8.7 x D 3.1 ""

Strap Drop.(Single) 24.0 ""

Strap Drop.(Double) 12.6 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Authenticity Card, Manual, Shop Seal, Dust Bag",Excellent condition,Good condition,-,-,AO25162
CHANEL Wild Stitch Hand Tote Bag Black,/collections/chanel/products/ao25160,198000,7417328,"W 9.4 x H 9.4 x D 2.8 ""

Handle Drop. 5.1 ""","Black
/
Leather","Authenticity Seal, Authenticity Card","Good condition

Wrinkle",Good condition,-,-,AO25160
CHANEL Choco Bar Quilted CC Double Chain Shoulder Bag Black,/collections/chanel/products/ao25043,228000,7750017,"W 11.8 x H 7.5 x D 2.4 ""

Strap Drop.(Single) 15.7 ""

Strap Drop.(Double) 8.7 ""","Black
/
Nylon","Authenticity Seal, Authenticity Card, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO25043
CHANEL CC Logos Hand Bag Black Suede,/collections/chanel/products/ao25037,128000,5254127,"W 7.9 x H 6.9 x D 3.3 ""

Handle Drop. 5.3 ""","Black
/
Suede, Leather","Authenticity Seal, Authenticity Card, Manual, Shop Seal, Dust Bag","There is sign of use overall.

scuff",Good condition,-,-,AO25037
