productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Metallic Lambskin Quilted Maxi Single Flap Silver,https://www.fashionphile.com/chanel-metallic-lambskin-quilted-maxi-single-flap-silver-443523,"
                                                    $2,420                                            ",Chanel,,443523,Crossbody,12 ,9 ,3.25 ,19 ,2009,,"We guarantee this is an authentic CHANEL Metallic Lambskin Quilted Maxi Single Flap Silver or 100% of your money back. This stunning shoulder bag is finely crafted of soft diamond-quilted metallic silver lambskin leather. The bag features matte gold chain link shoulder straps threaded with leather, a front flap, and a matte gold Chanel CC turn lock. This opens to a matching leather interior with zipper and patch pockets. This is a classic and timeless shoulder bag for day or evening from Chanel! ",Very G,"Corner wear, scuffs , edge wear , glue residue , marks",Faint scratch(es),"Edge wear , frayed stitch(es)","Scuffs , imprints, pocket(s) stretched",
Denim Quilted Boy Clutch With Removable Chain Black,https://www.fashionphile.com/chanel-denim-quilted-boy-clutch-with-removable-chain-black-511183,"
                                                    $2,340                                            ",Chanel,"2,900",511183,Clutch & Evening,12 ,5 ,1.5 ,9.5 ,2015,rap,We guarantee this is an authentic CHANEL Denim Quilted Boy Clutch With Removable Chain Black or 100% of your money back. This stylish flap bag is crafted of luxurious patent denim material in black. The bag features a removable ruthenium chain strap and a small ruthenium boy snap closure on the facing flap. The bag opens to a fabric interior with zipper and patch pockets. This is the perfect bag for all of your daytime or evening necessities with the timeless style of Chanel!,Excell,Faded area(s),Faint scratch(es),,Protective plastic sticker(s) intac,
Caviar Quilted XL Grand Shopping Tote GST Black,https://www.fashionphile.com/chanel-caviar-quilted-xl-grand-shopping-tote-gst-black-492702,"
                                                    $2,495                                            ",Chanel,"3,500",492702,Handbags,16.25 ,10.25 ,5.25 ,9.25 ,Circa 2010s,,"We guarantee this is an authentic CHANEL Caviar Quilted XL Grand Shopping Tote GST Black or 100% of your money back. This stunning tote is beautifully crafted of luxurious diamond-quilted caviar leather in black. The bag features leather-threaded gold chain shoulder straps with leather shoulder pads, a prominent quilted Chanel CC logo on the front, and a wide rear pocket. The top is open to a partitioned black satin fabric interior with zipper and patch pockets. This is a classic tote, with versatility for day or evening, from Chanel!",Very G,"Corner wear, structure loss","Scratch(es) , plating","Edge wear , creases",Surface wea,
Caviar Quilted Large CC Clutch Red,https://www.fashionphile.com/chanel-caviar-quilted-large-cc-clutch-red-490263,"
                                                    $1,695                                            ",Chanel,"2,000",490263,Clutch & Evening,12 ,3 ,2.75 ,,2012,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Caviar Quilted Large CC Clutch Red or 100% of your money back. This stylish large clutch is crafted of luxurious diamond quilted stuffed caviar leather with an embroidered Chanel CC logo. The top frame opens with magnets to a fabric interior with a zipper pocket. Enjoy this fabulous clutch for day and evening, from Chanel.",Excell,,,,,
Calfskin Chevron Stitched Coco Waist Bag Black,https://www.fashionphile.com/chanel-calfskin-chevron-stitched-coco-waist-bag-black-510039,"
                                                    $2,550                                            ",Chanel,"3,400",510039,Belt Bags,7 ,5 ,2 ,,,"dust bag, authenticity card",We guarantee this is an authentic CHANEL Calfskin Chevron Stitched Coco Waist Bag Black or 100% of your money back. This stylish waist bag is finely crafted of chevron quilted lambskin leather in black. The bag features a gold chain link and leather belt strap and an envelope flap opening with a gold Chanel CC turn lock. This opens to a black leather interior for everyday essentials with the timeless style of Chanel!,Excell,"Faint corner wear, faint scuffs",Faint scratch(es),"Creases, sizing marks",Scuffs,
Caviar Quilted Jumbo Single Flap Black,https://www.fashionphile.com/chanel-caviar-quilted-jumbo-single-flap-black-507969,"
                                                    $5,090                                            ",Chanel,,507969,Crossbody,11.75 ,7.75 ,3.5 ,23 ,2010,"box, dust bag, authenticity card","We guarantee this is an authentic CHANEL Caviar Quilted Jumbo Single Flap Black or 100% of your money back. This stylish shoulder bag is crafted of luxurious caviar textured leather in black. The shoulder bag features leather threaded polished silver chain-link shoulder straps, a rear patch pocket and a front flap with a polished silver CC turn lock. The flap opens to an inner flap and a burgundy leather interior with patch pockets. This is an ideal classic shoulder bag perfect for day or evening, from Chanel!",Excell,dge wea,Faint scratch(es),,mprints,
Lambskin Quilted Medium Double Flap Black,https://www.fashionphile.com/chanel-lambskin-quilted-medium-double-flap-black-504616,"
                                                    $3,795                                            ",Chanel,"5,800",504616,Handbags,10 ,6 ,2.5 ,17 ,2013,dust bag,"We guarantee this is an authentic CHANEL Lambskin Quilted Medium Double Flap Black or 100% of your money back. This shoulder bag is crafted of luxurious black lambskin leather with iconic diamond shaped stitched quilting. The bag has classic polished silver chain shoulder straps threaded with black leather and a silver Chanel CC turn lock. This opens the front flap to another flap and a burgundy leather interior with patch pockets. Satisfy your practical needs as well as your demand for style with this lovely classic that is is as sophisticated as it is chic, from Chanel!",Very G,"Corner wear, scuffs , edge wear , imprints, frayed stitch(es)",Scratch(es),,"Scuffs , marks",
Metallic Aged Calfskin Quilted 2.55 Reissue Mini Flap Green,https://www.fashionphile.com/chanel-metallic-aged-calfskin-quilted-255-reissue-mini-flap-green-468691,"
                                                    $3,655                                            ",Chanel,,468691,Crossbody,7.5 ,5 ,3 ,20.5 ,,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Metallic Aged Calfskin Quilted 2.55 Reissue Mini Flap Green or 100% of your money back. This stylish shoulder bag is beautifully crafted of diamond quilted aged calfskin leather in green. The bag features gold chain shoulder straps and a gold mademoiselle turn lock. This opens to a matching leather interior with zipper and patch pockets. This is a beautiful shoulder bag that is ideal for day or evening wear, from Chanel! ",New,,Protective plastic sticker(s) intact,,,
Caviar Chevron Quilted New Medium Boy Flap Black,https://www.fashionphile.com/chanel-caviar-chevron-quilted-new-medium-boy-flap-black-505322,"
                                                    $4,550                                            ",Chanel,"5,500",505322,Crossbody,11 ,7 ,3 ,20 ,2018,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Caviar Chevron Quilted New Medium Boy Flap Black or 100% of your money back. This chic shoulder bag is crafted of chevron quilted caviar leather framed by linear quilting in black. The bag features a polished aged gold chain link shoulder strap with a leather shoulder pad, and a matching boy CC push lock on the crossover flap. This opens to a black fabric interior with a patch pocket. This classic Chanel shoulder bag is a showstopper!",Excell,Faint corner wea,Scratch(es),,Scuffs,
Aged Calfskin Quilted Large Gabrielle Hobo Black,https://www.fashionphile.com/chanel-aged-calfskin-quilted-large-gabrielle-hobo-black-429306,"
                                                    $3,630                                            ",Chanel,"4,800",429306,Crossbody,12.25 ,10.25 ,4 ,28 ,2017,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Aged Calfskin Quilted Large Gabrielle Hobo Black or 100% of your money back. This chic hobo is crafted of textured aged and smooth calfskin diamond stitched leather in black. The bag features a smooth leather base, gradient gold to ruthenium chain threaded leather shoulder strap and black leather zipper pull with a gold CC logo. The top zipper pull opens to a spacious red fabric interior with patch and zipper pockets. This shoulder bag has room for all your essentials with the timeless style only from Chanel! ",Excell,Scuffs,Scratch(es),,"Musty odor, marks",
Calfskin Stitched 2.55 Reissue 227 Flap Burgundy,https://www.fashionphile.com/chanel-calfskin-stitched-255-reissue-227-flap-burgundy-415478,"
                                                    $3,595                                            ",Chanel,"6,700",415478,Crossbody,12.25 ,7 ,3.75 ,19 ,2014,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Calfskin Stitched 2.55 Reissue 227 Flap Burgundy or 100% of your money back. This stylish shoulder bag is beautifully crafted of diamond quilted calfskin leather in dark red. The bag features a reissue aged gold toned chain straps with a frontal squared Mademoiselle turn lock. The shoulder bag front flap opens to a secondary flap that has a matte leather interior with patch pockets. This luxury shoulder bag is ideal for day or evening, from Chanel! ",Excell,"Marks, faint scuffs",Scratch(es),,"Scuffs , marks, bubbled, edge wea",
Caviar Quilted Medium Double Flap Dark Red,https://www.fashionphile.com/chanel-caviar-quilted-medium-double-flap-dark-red-503860,"
                                                    $5,695                                            ",Chanel,"5,800",503860,Handbags,10 ,5.75 ,2.25 ,16.25 ,2016,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Caviar Quilted Medium Double Flap Dark Red or 100% of your money back. This medium classic shoulder bag is crafted of diamond quilted caviar leather in burgundy. The shoulder bag features an aged gold chain link leather threaded shoulder straps and a front flap with an aged gold Chanel CC turn lock. This handbag opens to a second flap and a matching matte leather interior with patch pockets. This is a stunning shoulder bag, ideal for every situation, with the one of a kind classic style from Chanel!",Excell,"Structure wear , imprints",Faint scratch(es),Edge wear,"Scuffs , imprints",
Lambskin Chevron Quilted Studded Mini Flap Black,https://www.fashionphile.com/chanel-lambskin-chevron-quilted-studded-mini-flap-black-483518,"
                                                    $2,995                                            ",Chanel,"3,500",483518,Crossbody,6.25 ,4.75 ,2.5 ,23.75 ,2017,"authenticity card, dust bag","We guarantee this is an authentic CHANEL Lambskin Chevron Quilted Studded Mini Flap Black or 100% of your money back. The chic crossbody features soft chevron-quilted leather in black. The bag features silver studs, an aged silver chain link shoulder strap and an aged silver Chanel CC turn-lock securing the front flap. This opens to a black fabric interior with patch pocket. This purse is perfect for daytime and evening essentials with the timeless style of Chanel!",Excell,Scuffs,Scratch(es),Scuffs,"Scuffs , marks, imprints",
