productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Pebbled Calfskin Kids Mini Soho Flap Crossbody Bag Light Pink,https://www.fashionphile.com/gucci-pebbled-calfskin-kids-mini-soho-flap-crossbody-bag-light-pink-448621,"
                                                    $465                                            ",Gucci,,448621,Crossbody,6.5 ,5.75 ,1.25 ,18.5 ,,,"We guarantee this is an authentic GUCCI Pebbled Calfskin Kids Mini Soho Flap Crossbody Bag Light Pink or 100% of your money back. This petite crossbody flap bag is crafted of fine leather in light pink and features a long leather shoulder strap, polished silver hardware, and a front flap with a prominent stitched interlocking GG logo. The bag opens to a natural linen interior. This is stylish bag that is perfect for day or night with room for all the necessities, from Gucci!",Excell,,"Scratch(es) , tarnish",Edge wear,Residue marks,
Microguccissima Mini Dome Bag Navy,https://www.fashionphile.com/gucci-microguccissima-mini-dome-bag-navy-500564,"
                                                    $1,050                                            ",Gucci,,500564,Crossbody,9.5 ,7.5 ,5 ,18.25 ,,"dust bag, strap","We guarantee this is an authentic GUCCI Microguccissima Mini Dome Bag Navy or 100% of your money back. This chic shoulder bag is crafted of Microguccissima-embossed leather in dark blue. The bag features rolled leather handles, an optional shoulder strap, and polished light gold hardware. The wrap-around zippers open to a spacious natural fabric interior with a patch pocket. This is an ideal handbag for everyday wear, only from Gucci!",New,,,,,Employee or sale stamp
Velvet Matelasse Medium GG Marmont Shoulder Bag Beige,https://www.fashionphile.com/gucci-velvet-matelasse-medium-gg-marmont-shoulder-bag-beige-505097,"
                                                    $1,150                                            ",Gucci,"1,980",505097,Crossbody,12.25 ,7.75 ,2.75 ,20.75 ,,"box, dust bag","We guarantee this is an authentic GUCCI Velvet Matelasse Medium GG Marmont Shoulder Bag Beige or 100% of your money back. This lovely bag is crafted of chevron-quilted velvet in brown, with a heart stitched on the back. The bag features an aged gold chain-link shoulder strap with a leather shoulder pad and a matching gold Gucci GG logo on the crossover flap. The bag opens with a press lock to a smooth pink satin fabric interior with zipper and patch pockets. This is a perfect everyday shoulder bag, from Gucci!",Very G,"Corner wear, edge wear , imprints, bald area(s)",Scratch(es),,Pocket(s) stretched,
GG Supreme Monogram Flora Web Small Ophidia Tote Bag Red,https://www.fashionphile.com/gucci-gg-supreme-monogram-flora-web-small-ophidia-tote-bag-red-508534,"
                                                    $1,555                                            ",Gucci,"2,150",508534,Crossbody,9.5 ,7.75 ,4 ,22 ,,rap,"We guarantee this is an authentic GUCCI GG Supreme Monogram Flora Web Small Ophidia Tote Bag Red or 100% of your money back. This stylish handbag is crafted of a beige canvas with a lovely bright colorful floral pattern. The tote features red leather trim, gold hardware, and red leather shoulder strap. The top is open to a beige linen interior with patch pockets. This is a magnificent handbag for everyday use from Gucci! ",New,,,,,
Bright Diamante Small Bucket Bag Black,https://www.fashionphile.com/gucci-bright-diamante-small-bucket-bag-black-495173,"
                                                    $525                                            ",Gucci,"1,450",495173,Crossbody,7.75 ,8.5 ,5.5 ,19 ,,dust bag,"We guarantee this is an authentic GUCCI Bright Diamante Small Bucket Bag Black or 100% of your money back. This stylish bucket style small shoulder bag is crafted of Diamante textured leather in bold black. The shoulder bag features sturdy smooth leather lower sides and a base for sturdiness, a leather waist length cross body shoulder strap and cinch cords threaded through polished light gold eyelets. The bag opens to a white Gucci monogram jacquard fabric interior with patch pockets. This is an ideal shoulder bag for everyday essentials, from Gucci! ",Very G,"Scuffs , color transfer , imprints",Faint scratch(es),Marks,Marks,
Nylon Guccissima Light Duffle Blue,https://www.fashionphile.com/gucci-nylon-guccissima-light-duffle-blue-487674,"
                                                    $550                                            ",Gucci,,487674,Crossbody,14 ,12 ,6 ,20.5 ,,"dust bag, strap","We guarantee this is an authentic GUCCI Nylon Guccissima Light Duffle Blue or 100% of your money back. This stylish large tote is crafted of classic Gucci monogram in blue nylon with blue leather adjustable handles. The top opens to a blue fabric interior with zipper and patch pockets. This is a chic tote for travel of all kinds, from Gucci!",Excell,,Faint scratch(es),,,
Calfskin Small Padlock Shoulder Bag Black,https://www.fashionphile.com/gucci-calfskin-small-padlock-shoulder-bag-black-484655,"
                                                    $1,010                                            ",Gucci,"1,850",484655,Crossbody,8 ,5.25 ,3 ,20 ,,"dust bag, clochette, 2 key",We guarantee this is an authentic GUCCI Calfskin Small Padlock Shoulder Bag Black or 100% of your money back. This stylish tote is crafted of smooth calfskin leather in black. The bag features a gold chain shoulder strap and a matching press-lock on the flap that opens to a beige microfiber interior with a patch pocket. This is an ideal everyday bag with the sophisticated style of Gucci!,Excell,"Creases, marks, faint scuffs","Scratch(es) , pitt",,"Scuffs , marks, imprints",
Microguccissima Mini Emily Shoulder Bag Black,https://www.fashionphile.com/gucci-microguccissima-mini-emily-shoulder-bag-black-427257,"
                                                    $835                                            ",Gucci,"1,200",427257,Crossbody,7 ,5.25 ,1.75 ,22.5 ,,,We guarantee this is an authentic GUCCI Microguccissima Mini Emily Shoulder Bag Black or 100% of your money back. This chic shoulder bag is crafted of fine Gucci GG monogram embossed leather in black. The bag features a light gold link shoulder strap with a leather shoulder pad and a decorative horse bit embellishment with leather tassels as a secure for the cross-over flap and strap insert. This opens to a spacious coarse fabric interior with a patch pocket. This shoulder bag is ideal for all of your evening necessities with the distinctive style of Gucci! ,Excell,"Scuffs , imprints, faint corner wea",Faint scratch(es),"Creases, scuffs","Scuffs , marks",
GG Supreme Monogram Web Backpack Black,https://www.fashionphile.com/gucci-gg-supreme-monogram-web-backpack-black-430475,"
                                                    $1,215                                            ",Gucci,"1,350",430475,Backpacks,12.25 ,16 ,5 ,17 ,,,"We guarantee this is an authentic GUCCI GG Supreme Monogram Web Backpack Black or 100% of your money back. This stylish backpack is crafted of Gucci GG monogram coated canvas with a green and red strip on the center of the bag. The bag features adjustable nylon shoulder straps and black leather trim with silver hardware. The top zipper opens to a spacious black fabric interior with zipper and patch pockets. This stylish backpack is suitable for school or light travel, with the designer appeal of Gucci!",Excell,Faint scuffs,,Sizing marks,,
Denim Monogram Large D Ring Tote Black,https://www.fashionphile.com/gucci-denim-monogram-large-d-ring-tote-black-471572,"
                                                    $355                                            ",Gucci,,471572,Handbags,15.75 ,10.75 ,6 ,7 ,,,We guarantee this is an authentic GUCCI Denim Monogram Large D Ring Tote Black or 100% of your money back. This chic tote is created og GG monogram denim in black with black leather trim. The bag features rolled the leather handles with silver links and leather top crest with a top zipper. This opens to a black fabric interior with room for your daytime or evening essentials with the sophisticated style of Gucci! ,Very G,"Corner wear, faded area(s), edge wear , frayed stitch(es)",Scratch(es),,"Scuffs , marks",Employee or sale stamp
