productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Taurillon Clemence Evelyne III PM Orange Poppy,https://www.fashionphile.com/hermes-taurillon-clemence-evelyne-iii-pm-orange-poppy-481084,"
                                                    $2,115                                            ",Hermes,"3,375",481084,Crossbody,11 ,10.5 ,3.25 ,18.5 ,2017,"box, dust bag","We guarantee this is an authentic HERMES Taurillon Clemence Evelyne III PM Orange Poppy or 100% of your money back. This cross-body messenger bag is crafted of vibrant orange clemence pebbled calfskin leather. The shoulder bag features a cross-body length fabric shoulder strap, palladium silver clasps and buckles, and a facing perforated H with a cross over strap. The strap opens to a matching suede leather interior. This is an excellent messenger for everyday utility or a travel accessory with the classic sophistication of Hermes!",Very G,Color transf,Scratch(es),,,
Taurillon Clemence Birkin 35 Black,https://www.fashionphile.com/hermes-taurillon-clemence-birkin-35-black-458996,"
                                                    $7,695                                            ",Hermes,,458996,Handbags,13.75 ,7.25 ,10.5 ,4.25 ,,"(clochette, lock & key not included)","We guarantee this is an authentic HERMES Taurillon Clemence Birkin 35 Black or 100% of your money back. This classic Birkin tote is crafted of beautifully textured calfskin leather in black. The bag features rolled leather top handles, a cross over flap and strap and gold plated turn lock. These open to a chevre goatskin leather interior with room for your essentials for every occasion with the classic sophistication only from Hermes!",Very G,"Corner wear, structure wear , edge wea",Scratch(es),"Wear at resin glazing, structure wear","Residue marks , imprints","Missing key clochette, missing lock and/or key(s)"
Tadelakt Kelly Cut Clutch Pochette Griolet,https://www.fashionphile.com/hermes-tadelakt-kelly-cut-clutch-pochette-griolet-463166,"
                                                    $5,350                                            ",Hermes,,463166,Clutch & Evening,12.25 ,5 ,0.75 ,,2008,dust bag,"We guarantee this is an authentic HERMES Tadelakt Kelly Cut Clutch Pochette Griolet or 100% of your money back. This chic clutch is crafted of fine swift calfskin leather in a light purple with grey undertones. In the style of the Kelly handbags, the clutch has a leather strap top handle, a cross over flap, and strap closure with a palladium silver turn lock. This opens to a matte leather interior. This is an excellent clutch, ideal for evening and special occasions, from Hermes!",Very G,"Scuffs , marks",Protective plastic sticker(s) intact,,,
Toile Negonda Garden Party 36 MM 5P Pink,https://www.fashionphile.com/hermes-toile-negonda-garden-party-36-mm-5p-pink-438627,"
                                                    $1,160                                            ",Hermes,"2,325",438627,Handbags,14.25 ,10.5 ,6.5 ,5.5 ,2010,,"We guarantee this is an authentic HERMES Toile Negonda Garden Party 36 MM 5P Pink or 100% of your money back. This sophisticated tote has a casual appeal with a structured shape crafted of natural toile canvas in pink. This is reinforced with pink pebbled leather including a solid leather base and center straps that extend into rolled top handles. The palladium silver snap opens to a spacious canvas interior with a leather base. This is a versatile casual tote for everyday, with the luxe appeal of Hermes!",Very G,"Corner wear, edge wear , pilling , marks, liquid marks, stain(s)",Scratch(es),Sticky,"Creases, stain(s)",
Togo Birkin 30 Gris Mouette,https://www.fashionphile.com/hermes-togo-birkin-30-gris-mouette-514657,"
                                                    $15,950                                            ",Hermes,,514657,Handbags,11.5 ,8.5 ,6 ,3.75 ,2016,"box, dust bag, rain coat, clochette, lock, 2 key","We guarantee this is an authentic HERMES Togo Birkin 30 Gris Mouette or 100% of your money back. This stylish tote is finely crafted of grained light grey leather. The bag features rolled leather top handles, a leather belt and polished gold plated hardware, including a turn lock, a padlock and a hanging clochette with keys. This classic bag opens to a chevre goatskin leather interior with zipper and patch pockets. This is a beautiful tote for everyday use, with the chic appeal of Hermes! ",Excell,,"Protective plastic sticker(s) intact, faint scratch(es)",,,
Negonda Garden Party 36 MM Etoupe,https://www.fashionphile.com/hermes-negonda-garden-party-36-mm-etoupe-514797,"
                                                    $3,550                                            ",Hermes,"3,750",514797,Handbags,14.25 ,10.25 ,7 ,4.75 ,2018,dust bag,"We guarantee this is an authentic HERMES Negonda Garden Party 36 MM Etoupe or 100% of your money back. This sophisticated tote is finely crafted of luxurious grained taupe grey leather with contrast stitching in white. The bag features expandable sides with a snap, facing trim that transitions into rolled leather top handles and a top snap in palladium silver that opens to a spacious ivory fabric interior with a zipper pocket. This is a splendid tote for everyday wear, from Hermes!",Excell,Faint corner wea,,,,
Epsom Evelyne III PM Orange Poppy,https://www.fashionphile.com/hermes-epsom-evelyne-iii-pm-orange-poppy-508169,"
                                                    $2,295                                            ",Hermes,"3,375",508169,Crossbody,11 ,10.5 ,3 ,19 ,2016,,"We guarantee this is an authentic HERMES Epsom Evelyne III PM Orange Poppy or 100% of your money back. This bag has a tall shape of epsom calfskin leather with a perforated Hermes H design on the front and a wide rear pocket in orange. The bag features a long adjustable shoulder strap that can be worn across the body and attaches with palladium silver hardware. The top cross over strap opens to a spacious suede interior. This is a superb and very stylish messenger for day with the right accent of classic sophistication, from Hermes! ",Very G,,Faint scratch(es),Sizing marks,Marks,
Swift Jige Elan 29 Clutch Rouge Grenat,https://www.fashionphile.com/hermes-swift-jige-elan-29-clutch-rouge-grenat-473551,"
                                                    $2,330                                            ",Hermes,"3,675",473551,Clutch & Evening,11.25 ,6.25 ,0.75 ,,2016,dust bag,We guarantee this is an authentic HERMES Swift Jige Elan 29 Clutch Rouge Grenat or 100% of your money back. This stylish clutch is crafted of smooth calfskin leather in red. There is a cross over flap and a strap that tucks under a leather Hermes initial. This opens to a leather interior with room for just the essentials for day or evening with the classic sophistication only from Hermes! ,Excell,Faint scuffs,,,,
Taurillon Clemence Evelyne II PM Vert Chartreuse,https://www.fashionphile.com/hermes-taurillon-clemence-evelyne-ii-pm-vert-chartreuse-514716,"
                                                    $2,095                                            ",Hermes,,514716,Crossbody,11 ,11 ,3.25 ,19.5 ,2007,,"We guarantee this is an authentic HERMES Taurillon Clemence Evelyne II PM Vert Chartreuse or 100% of your money back. This stylish messenger bag is crafted of a beautiful shade of green Taurillon Clemence calfskin leather and features a matching canvas shoulder strap. This bag is detailed with palladium silver hardware, a rear pocket, and a perforated Hermes H oval on the face of the bag. The top of the bag opens with a cross over strap to a suede interior. This is a chic messenger bag, ideal for everyday essentials, from Hermes!",G,"Corner wear, scuffs , edge wear , marks","Scratch(es) , tarnished, pitt","Edge wear , popped stitch(es)","Residue marks , ink marks, discoloration, surface wea",
Negonda Garden Party 36 MM Cuivre,https://www.fashionphile.com/hermes-negonda-garden-party-36-mm-cuivre-514723,"
                                                    $2,015                                            ",Hermes,"3,675",514723,Handbags,14.5 ,10 ,7.25 ,5.75 ,2016,box,"We guarantee this is an authentic HERMES Negonda Garden Party 36 MM Cuivre or 100% of your money back. This sophisticated tote is crafted of luxurious golden brown leather with contrast stitching in white. The bag features expandable sides with polished palladium snap buttons, and rolled leather top handles. The top is open to a spacious ivory fabric interior with a zipper pocket. This is a splendid tote for everyday wear, from Hermes!",Very G,"Corner wear, edge wear , marks",Faint scratch(es),Wear at resin glazing,"Residue marks , cigarette odor, pilling",
