productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Damier Ebene Croisette,https://www.fashionphile.com/louis-vuitton-damier-ebene-croisette-480374,"
                                                    $1,700                                            ",Louis Vuitton,"1,700",480374,Crossbody,9 ,6 ,3.5 ,23 ,2016,"box, dust bag, strap, tassel","We guarantee this is an authentic LOUIS VUITTON Damier Ebene Croisette or 100% of your money back. This compact tote is crafted of Louis Vuitton damier in brown on coated canvas. The bag features a removable tassel, chocolate brown cowhide leather trim, top handle, and optional shoulder strap. The crossover flap opens with a brass S-lock to a red fabric interior with a patch pocket. This versatile bag can be carried in the hand, over the shoulder, or worn cross-body, perfect for keeping everyday necessities close at hand, only from Louis Vuitton!",Excell,,Faint scratch(es),,,
Monogram Cabas Mezzo,https://www.fashionphile.com/louis-vuitton-monogram-cabas-mezzo-272760,"
                                                    $595                                            ",Louis Vuitton,"1,440",272760,Handbags,14 ,12.75 ,6 ,10 ,2003,,"We guarantee this is an authentic LOUIS VUITTON Monogram Cabas Mezzo or 100% of your money back. This stylish shoulder bag is crafted of signature Louis Vuitton monogram coated canvas. It features vachetta cowhide leather shoulder straps, a flat vachetta base and polished brass hardware. The brass top zipper opens to a brown fabric interior with a zipper and cell phone pocket as well as a vachetta D-ring to attach your keys or favorite LV accessories. This is a wonderful everyday handbag with luxury and style, from Louis Vuitton!
",G,"Scuffs , structure wear , patina of vachetta , edge wear , frayed, liquid marks, substantial corner wea","Scratch(es) , tarnished, plating","Edge wear , scuffs , wear at resin glazing, darkening , patina , liquid marks","Fading, surface wear, marks",
Empreinte Twice Dahlia,https://www.fashionphile.com/louis-vuitton-empreinte-twice-dahlia-514819,"
                                                    $995                                            ",Louis Vuitton,"1,440",514819,Crossbody,9.25 ,6.25 ,1.5 ,20.25 ,2015,dust bag,"We guarantee this is an authentic LOUIS VUITTON Empreinte Twice Dahlia or 100% of your money back. This crossbody is crafted of embossed monogram leather in hot pink. The shoulder bag features a long shoulder strap and brass hardware. The flap and zipper compartments open to a microfiber pink interior and conceals a third 'secret' compartment with magnetic enclosure. An elegant bag for both day or evening, from Louis Vuitton! ",Excell,,Faint scratch(es),,,
Monogram Neo Neverfull PM Pivoine,https://www.fashionphile.com/louis-vuitton-monogram-neo-neverfull-pm-pivoine-497979,"
                                                    $1,095                                            ",Louis Vuitton,"1,350",497979,Handbags,11 ,8.5 ,5.25 ,6.5 ,2017,(pochette not included),"We guarantee this is an authentic LOUIS VUITTON Monogram Neo Neverfull PM Pivoine or 100% of your money back. This stylish, smaller sized tote is crafted of classic Louis Vuitton monogram coated canvas. The handbag features signature vachetta cowhide leather trim including top strap handles and side cinch cords with polished brass hardware. The wide top is open to a deep pink striped fabric interior with a hanging zipper pocket. This is a chic shoulder bag that is ideal for everyday wear, with luxury and style, from Louis Vuitton!",Excell,"Marks, hot stamped , faint corner wea",Faint scratch(es),,,Missing poc
Damier Ebene Iena PM,https://www.fashionphile.com/louis-vuitton-damier-ebene-iena-pm-503414,"
                                                    $1,195                                            ",Louis Vuitton,"1,360",503414,Handbags,10.5 ,9.25 ,5.5 ,8.75 ,2018,dust bag,"We guarantee this is an authentic LOUIS VUITTON Damier Ebene Iena PM or 100% of your money back. This stylish tote is crafted of Louis Vuitton damier coated canvas in brown. The bag features a front zipper pocket, and chocolate brown leather trim and top handles, with polished brass hardware. The top zipper opens the bag to a plum fabric interior with patch pockets. This is a perfect bag for everyday use, with the luxury and style of Louis Vuitton!",Excell,Corner wea,Faint scratch(es),Creases,,
Damier Ebene Speedy Bandouliere 25,https://www.fashionphile.com/louis-vuitton-damier-ebene-speedy-bandouliere-25-513126,"
                                                    $1,780                                            ",Louis Vuitton,,513126,Crossbody,10 ,7.5 ,6 ,18.75 ,2018,"dust bag, strap, strap extender (lock and key not included)","We guarantee this is an authentic LOUIS VUITTON Damier Ebene Speedy Bandouliere 25 or 100% of your money back. This stylish handbag is finely crafted of signature Louis Vuitton Damier patterned canvas in brown. The handbag features brown rolled leather top handles, trim, and an optional adjustable shoulder strap with polished brass hardware. The top zipper opens to a red fabric interior with a hanging zipper pocket. This is a perfect handbag for everyday, from Louis Vuitton!",Excell,,Faint scratch(es),,,Missing lock and/or key(s)
Empreinte Pochette Metis Black,https://www.fashionphile.com/louis-vuitton-empreinte-pochette-metis-black-470195,"
                                                    $2,160                                            ",Louis Vuitton,"2,230",470195,Crossbody,9.75 ,7.25 ,3 ,19 ,2019,rap,"We guarantee this is an authentic LOUIS VUITTON Empreinte Pochette Metis Black or 100% of your money back. This chic handbag is finely crafted of Louis Vuitton monogram embossed calfskin leather in black. The shoulder bag features a leather top handle, an optional, adjustable shoulder strap, a rear zipper pocket, and a polished brass S-lock on the crossover flap. This opens to a partitioned grey striped fabric interior. This is the perfect messenger bag for everyday essentials, from Louis Vuitton!",Very G,"Marks, imprints","Scratch(es) , tarnished, plating",Sizing marks,Marks,
Monogram Cruiser 45,https://www.fashionphile.com/louis-vuitton-monogram-cruiser-45-475931,"
                                                    $950                                            ",Louis Vuitton,"2,660",475931,Handbags,17.5 ,17 ,10.25 ,4.5 ,2001,"luggage loop, luggage tag","We guarantee this is an authentic LOUIS VUITTON Monogram Cruiser 45 or 100% of your money back. This stylish bag is crafted of classic Louis Vuitton monogram on toile coated canvas. This foldable bag features vachetta cowhide leather trim and rolled top handles with polished brass hardware. The bag opens with a belt buckle, and polished brass zippers to a cocoa brown fabric interior with a hanging patch pocket. This is a great travel bag for your convenience, with luxury and style of Louis Vuitton!",Very G,"Corner wear, scuffs , patina of vachetta , edge wear , marks, liquid marks, sizing marks","Oxidation , scratch(es) , tarnished, plating","Patina , liquid marks, marks",Marks,
Monogram Nice BB,https://www.fashionphile.com/louis-vuitton-monogram-nice-bb-474892,"
                                                    $1,185                                            ",Louis Vuitton,,474892,Cosmetic Cases,9.5 ,6.5 ,5.25 ,1.25 ,2019,"box, dust bag","We guarantee this is an authentic LOUIS VUITTON Monogram Nice BB or 100% of your money back. This handy travel bag, named after the French city of Nice, is crafted of traditional Louis Vuitton monogram canvas. The case features a vachetta cowhide leather top handle and piping trim. The polished brass wrap around zippers open the bag to a beige leather interior with zipper and patch pockets. This is the perfect complement to any travel set, from Louis Vuitton!",Excell,"Patina of vachetta , faint corner wea",Faint scratch(es),Pati,Perfume or cologne od,
Monogram Retiro NM Black,https://www.fashionphile.com/louis-vuitton-monogram-retiro-nm-black-494737,"
                                                    $1,795                                            ",Louis Vuitton,"2,110",494737,Crossbody,12.75 ,10 ,6.25 ,15.5 ,2016,"rap, clochette, lock & 2 keys, dust bag","We guarantee this is an authentic LOUIS VUITTON Monogram Retiro NM Black or 100% of your money back. This stylish tote is crafted of classic Louis Vuitton monogram on toile canvas. This is a stylish handbag features black grained leather accents including sturdy handles, an optional adjustable shoulder strap, and decorative trimmed corners with polished brass hardware. The top zipper opens to a black microfiber interior with patch pockets. This is an excellent bag, ideal for every day, by Louis Vuitton!",Excell,Hot stamped,"Plating wear , faint scratch(es)",,,
