prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
GUCCI GG Pattern Hand Bag Pink Brown,/collections/gucci/products/ao26972,"49,800",124542 2888,"W 7.5 x H 7.5 x D 4.3 ""

Handle Drop. 2.9 ""","Pink, Brown
/
Canvas, Leather",-,"Good condition

Leather part is Dirt.",Good condition,-,-,AO26972
GUCCI Shelly Line Mini Hand Bag Black Denim,/collections/gucci/products/ao26973,"32,800",92821 204991,"W 6.7 x H 4.3 x D 1.8 ""

Handle Drop. Longest 6.3 ""","Black, Red, Green
/
Denim, Leather",-,There is sign of use overall.,Good condition,-,-,AO26973
GUCCI GG Pattern Hand Bag Black,/collections/gucci/products/ao26205,"32,800",01798 002122,"W 8.5 x H 4.1 x D 3.5 ""

Handle Drop. 4.1 ""","Black
/
Canvas, Leather",-,"Good condition

Stained",Good condition,-,-,AO26205
GUCCI Kids GG Shelly Line Waist Bum Bag,/collections/gucci/products/ao25771,"59,800",311159 002058,"W 7.4 x H 4.7 x D 1.1 ""

Belt Size. 16.9 - 20.8 ""","Brown
/
Canvas, Leather",-,"Good condition
Scratches",Excellent condition,-,-,AO25771
GUCCI Bamboo Backpack Brown,/collections/gucci/products/ao25546,"69,800",003.1705.0080,"W 8.7 "" x H 9.4 "" x D 2.8 ""

Handle Drop. 2.4 ""

Strap. 23.6 - 29.5 ""","Brown
/
Leather",Dust bag,Good condition,Good condition,-,-,AO25546
GUCCI Mini 2way Hand Bag Black,/collections/gucci/products/ao25460,"79,800",007.090.0234,"W 5.1 x H 4.3 x D 2.0 ""

Handle Drop. 2.0 ""

Strap Drop. 23.6 ""","Black
/
Leather",Shoulder strap,Good condition,Good condition,-,-,AO25460
GUCCI Mini Party Hand Bag Black Satin,/collections/gucci/products/ao25459,"69,800",005.0416.0323.0,"W 8.3 x H 5.9 x D 2.0 ""

Handle Drop. 1.6 ""","Black, Gold
/
Satin",Dust bag,Good condition,"Good condition

Tag is fraying,and detached.",-,-,AO25459
GUCCI Jackie Hand Bag Gray Black Velvet,/collections/gucci/products/ao25212,"39,800",001.3735.002058,"W 12.6 x H 8.3 x D 1.2 ""

Handle Drop. 7.1 - 7.9 ""","Gray, Black
/
Velvet, Leather",Dust Bag,"Good condition

Velvet: minor dirt.

Leather part: minor mold stain",Good condition,-,-,AO25212
GUCCI Bamboo Line Chain 2way Mini Hand Bag Black Lizard,/collections/gucci/products/ao25291,"248,000",005 781 0258,"W 6.7 x H 5.1 x D 2.0 ""

Handle Drop. 2.8 ""

Shoulder Drop. 24.0 ""","Black, Brown
/
Lizard Leather","Shoulder Strap, Manual",Excellent condition,"Good condition

scratches",-,-,AO25291
GUCCI GG Shelly Line Boston Hand Bag Brown,/collections/gucci/products/ao25179,"69,800",39,"W 13.0 x H 8.3 x D 6.3 ""

Handle Drop. 4.7 ""","Brown, Red, Green
/
PVC, Leather",-,"There is sign of use overall.

Leather part: stain.

Zipper rail: rust",Good condition,-,-,AO25179
GUCCI GG Shelly Line Hand Tote Bag Black,/collections/gucci/products/ao25181,"69,800",189669 467891,"W 13.0 x H 14.6 x D 5.1 ""

Handle Drop. 7.5 ""","Black, Red, Green
/
Canvas, Leather",-,Good condition,Good condition,-,-,AO25181
GUCCI GG Shelly Line Hand Tote Bag Black,/collections/gucci/products/ao25180,"79,800",131231 204991,"W 11.0 x H 12.2 x D 8.7 ""

Handle Drop. 7.9 ""","Black, Red, Green
/
Canvas, Leather",Dust Bag,Good condition,Good condition,-,-,AO25180
FENDI Pequin Pattern 2way Hand Bag Brown,/collections/gucci/products/ao25114,"89,800",579-262780-069,"W 11.8 x H 7.5 x D 4.3 ""

Handle Drop. 4.3 ""

Strap Drop. 21.3 ""","Brown, Black
/
PVC, Leather",Shoulder Strap,"Good condition

Side button: minor crack",Good condition,-,-,AO25114
FENDI Zucca Pattern 2way Hand Bag Box Brown,/collections/gucci/products/ao25112,"168,000",-,"W 8.9 x H 7.7 x D 3.5 ""

Handle Drop. 3.1 ""

Strap Drop. 17.7 ""","Brown, Beige
/
Canvas, Leather",Shoulder Strap,"Good condition

Handle roots: stain","Good condition

stain",-,-,AO25112
GUCCI Bamboo GG Cross Body Shoulder Bag Black,/collections/gucci/products/ao25048,"49,800",117594.0959,"W 9.6 x H 4.7 x D 1.2 ""

Strap Drop. 19.3 - 20.1 ""","Black, Brown
/
Canvas, Leather",Manual,Good condition,"Good condition

Bamboo: scratches",-,-,AO25048
