prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
HERMES EVELYNE TPM Shoulder Bag Soleil Epsom,/collections/hermes/products/ao26974,"248,000",Square:M ;Production in 2009,"W 6.7 x H 7.1 x D 2.2 ""

Shoulder Drop. 22.8 ""","Soleil (Yellow)
/
Veau Epson","Shop Card, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO26974
HERMES Sologne Shoulder Bag Red Box Calf,/collections/hermes/products/ao26501,"198,000",Circle : P ;Production in 1986,"W 9.4 x H 6.7 x D 2.4 ""

Strap Drop. 14.2 ""","Red
/
Box Calf",Dust Bag,"There is sign of use overall.

Strap roots leather: minor frayed and minor torn.

Scratch","There is sign of use overall.

scratches and dirt",-,-,AO26501
HERMES BANANA KELLY Waist Bum Bag Pouch Black Veau Gulliver,/collections/hermes/products/ao26506,"498,000",Circle : U ;Production in 1991,"W 7.9 x H 4.3 x D 2.2 ""","Black
/
Veau Gulliver",-,"Good condition

Belt: missing.",Good condition,-,-,AO26506
HERMES Dogon Meeting Document Case Clutch Bag Orange Togo,/collections/hermes/products/ao26505,"89,800",Square: G ;Production in 2003,"W 13.8 x H 10.6 ""","Orange
/
Veau Crispe Togo",Box,Excellent condition,"Good condition

Scratch",-,-,AO26505
HERMES BIRKIN 30 Hand Ba Orange Veau Swift,/collections/hermes/products/ao26346,"798,000",Square: L ; Production in 2008,"W 11.8 x H 8.7 x D 6.3 ""

Handle Drop. 3.9 ""","Orange
/
Veau Swift","Cover of Key, Keys*2, Padlock, Mini Dust Bag, Manual, Rain Cover, Box","Good condition

Minor Dirt.","Good condition

Scuffed",-,-,AO26346
HERMES KELLY DOLL Mascot Mini Hand Bag Olive Green Veau Gulliver 2000 Limited Edition,/collections/hermes/products/ao26247,"2,980,000",Square: D ;Production in 2000,"W 6.3 × H 4.5 × D 2.6 ""

Handle Drop. 2.0 ""","Olive Green
/
Veau Gulliver","Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO26247
HERMES OLYMPIE Shoulder Bag Bordeaux Crocodile,/collections/hermes/products/ao26106,"548,000",Circle : F ;Production in 1976,"W 9.4 x H 5.9 x D 2.8 ""

Strap Drop. 7.9 or 13.8 ""","Bordeaux
/
Crocodile Leather","Dust Bag, Box","Good condition

Minor scuffed","There is sign of use overall.

scratches and dirt",-,-,AO26106
HERMES BIRKIN 35 Hand Bag Bordeaux Togo,/collections/hermes/products/ao26103,"658,000",Square H; Production in 2004,"W 13.8 x H 10.2 x D 7.1 ""

Handle Drop. 3.9 ""","Bordeaux
/
Togo Leather","Cover of Key(Frayed), Key*2, Padlock, Dust Bag","There is sign of use overall.

Dirted, Frayed.","There is sign of use overall.

Suffed",-,-,AO26103
HERMES BIRKIN 35 Hand Bag Gold Veau Graine Couchevel,/collections/hermes/products/ao26102,"698,000", Square G: Production in 2003," W 13.8 x H 10.2 x D 7.1 ""  Handle Drop. 3.9 """,Gold / Veau Graine Couchevel," Cover of Key, Key*2, Padlock, Rain Cover"," There is sign of use overall.  Dirt, Scuffed.", There is sign of use overall.  Dirt, -, -, AO26102
HERMES BIRKIN 30 Hand Bag Sienne Trillon Clemence,/collections/hermes/products/ao25807,"798,000",X ;Production in 2016,"W 11.8 x H 8.7 x D 5.9 ""

Handle Drop. 3.5 ""","Sienne
/
Trillon Clemence Leather","Cover of Key, Keys*2, Padlock, Rain Cover,Dust Bag*2,Box","Good condition

There are scratches on the fittings.","Good condition

Scratches",-,-,AO25807
HERMES MARKET GM Shoulder Bag Brown Veau Crispe Togo,/collections/hermes/products/ao25778,"128,000",Unclear due to deterioration.,"W 10.6 x H 11.2 x D 6.2 ""

Strap Drop. 9.0 - 17.7 ""","Brown
/
Veau Crispe Togo",Dust Bag,"Good condition

scratches","There is sign of use overall.

Dirt",-,-,AO25778
HERMES KELLY 28 RETOURNE 2way Hand Bag Burgundy Veau Gulliver,/collections/hermes/products/ao25548,"798,000",Square:C ;Production in 1999,"W 11.4 x H 8.7 x D 4.7 ""

Handle Drop. 3.5 ""

Strap Drop. 16.9 ""","Burgundy
/
Veau Gulliver","Dust bag, Padlock, Keys*2, Cover of Key, Shoulder Strap",Excellent condition,Excellent condition,-,-,AO25548
HERMES HERBAG PM Sac A Dos 2 in 1 Backpack Natural Toile-GM,/collections/hermes/products/ao25564,"148,000", Square:H ;Production in 2004," W 11.2 "" x H 11.0 or 13.8 "" x D 4.3 ""  Strap total length. 28.3 """," Natural / Toile GM, Leather"," Dust bag, Spare bag, Padlock, Key x1, Key cover, Inside fastener", Good condition  There is stain., Excellent condition, -, -, AO25564
HERMES Onimaitou Pochette Shoulder Bag Black Box Calf,/collections/hermes/products/ao25561,"59,800",-,"W 6.5 x H 7.7 x D 0.8 ""

Strap Drop. 22.4 ""","Black
/
Box Calf",-,"Good condition

wrinkle and scratches",Good condition,-,-,AO25561
HERMES EVELYNE TPM Shoulder Bag Apricot Traurillon Clemence,/collections/hermes/products/ao25560,"268,000",C BS 010,"W 6.7 x H 7.1 x D 2.2 ""

Shoulder Drop. 22.0 ""","Apricot
/
Taurillon Clemence","Box, Dust bag",Excellent condition,Excellent condition,-,-,AO25560
HERMES KELLY DEPECHE PM Briefcase Business Bag Rouge H Veau Epsom,/collections/hermes/products/ao25557,"268,000",Square: I ; Production in 2005,"W 13.4 x H 10.6 x D 3.5 ""

Strap Drop. 2.0 ""","Rouge H
/
Veau epsom","Dust bag, Key x2, Key cover

***Padlock is NOT attached.***",Good condition,Good condition,-,-,AO25557
