prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
LOUIS VUITTON TRAVEL HAND BAG TRUNK HARD CASE MONOGRAM VINTAGE,/collections/louis-vuitton/products/ao26978,"1,580,000",943938,"W 39.4 x H 13.0 x D 20.5 ""

Handle Drop. 2.7 ""","Brown
/
Monogram Canvas, Leather, Metal",Wood Box*1,"This bag has a lot of damage.

Name in two places.

The fittings have some rust stains.

The Monogram canvas is scratched.","There is sign of use overall.

Dirt, Stains, Sticky

The smell of insect repellent.",-,-,AO26978
LOUIS VUITTON TRAVEL TRUNK HARD SHOES CASE BAG MONOGRAM,/collections/louis-vuitton/products/ao26982,"598,000",940119,"W 23.6 x H 20.6 x D 7.8 ""

Handle Drop. 2.7 ""","Brown
/
Monogram Canvas, Leather","Key*1, Cushion*12, Name Tag, Bag Cover","There is sign of use overall.

Name in two places.

The fittings have some rust stains.

The Monogram canvas is scratched.","There is sign of use overall.

The smell of insect repellent.",-,-,AO26982
LOUIS VUITTON MURAKAMI EDITION NEVERFULL GM TOTE BAG LV HAND M95561,/collections/louis-vuitton/products/ao26980,"598,000",DK2112,"W 15.7 x H 12.6 x D 7.9 ""

Strap Drop. 7.9 ""","Brown
/
Monogram Canvas, Leather","Dust Bag, Leather Tag",Excellent condition,"Excellent condition

Stained",-,-,AO26980
LOUIS VUITTON TRAVEL CLOTHES STORAGE TRUNK HARD CASE BAG MONOGRAM,/collections/louis-vuitton/products/ao26977,"970,000",965941,"W 21.3 x H 33.7 x D 9.1 ""

Handle Drop. 2.7 ""","Brown
/
Monogram Canvas, Leather, Metal","Key*2, Hanger*4, S-Hook*1","There is sign of use overall.

The fittings have some rust stains.

Handle leather has scraping.","This bag has a lot of damage.

Dirt, Sticky

There's a screw missing from the storage box.",-,-,AO26977
LOUIS VUITTON TRAVEL TRUNK HARD CLOTHES STORAGE CASE BAG EPI BLACK,/collections/louis-vuitton/products/ao26976,"1,280,000",966807,"W 21.7 x H 35.4 x D 11.8 ""

Handle Drop. 2.7 ""","Black
/
Epi Leather, Wood","Key*2, Hanger*5, S-Hook*1, Name Tag","This bag has a lot of damage.

Scratches, Dirt, Peeled

The fittings have some rust stains.

There's a sticker on the handle.","This bag has a lot of damage.

Dirt

The fittings have some rust stains.",-,-,AO26976
LOUIS VUITTON ALZER 80 TRUNK HARD CASE BAG DAMIER AZUR,/collections/louis-vuitton/products/ao26975,"798,000",AAS50605,"W 31.5 "" x H 9.4 "" x D 12.6 ""

Handle Drop. 3.5 ""","White
/
Damier Azur Canvas, Leather, Metal",Inner Case,"Good condition

Suntanned, Dirt, Stains.

Metal fittings: Discoloration","Excellent condition

Dirt",-,-,AO26975
LOUIS VUITTON FRINGE SPEEDY 25 HAND BAG MULTICOLOR WHITE M40113,/collections/louis-vuitton/products/ao26836,"498,000",SR 0056,"W 10.0 x H 7.5 x D 5.9 ""

Handle Drop. 3.7 ""","White, etc
/
Monogram Multi Color Canvas, Leather","Keys*2, Padlock, Dust Bag","Good condition

Suntanned, Stain.",Excellent condition,-,-,AO26836
LOUIS VUITTON MONTSOURIS GM BACKPACK BAG MONOGRAM MINI M92455,/collections/louis-vuitton/products/ao26842,"298,000",SP 0063,"W 12.2 "" x H 14.6 "" x D 5.3 ""

Strap total length. 25.2 - 28.3 ""","Navy
/
Canvas, Leather","Manual, Dust Bag","Excellent condition

The bottom is mold.",Excellent condition,-,-,AO26842
LOUIS VUITTON POCHETTE ACCESSOIRES HAND BAG MONOGRAM PANDA M51981,/collections/louis-vuitton/products/ao26839,"128,000",VI 0094,"W 8.3 x H 5.1 x D 1.6 ""

Handle Drop. 5.5 ""","Brown
/
Monogram Canvas, Leather",-,"There is sign of use overall.

Side leather has fraying.

Strap is wrinkle.",Good condition,-,-,AO26839
LOUIS VUITTON SAC A DOS BOSPHORE BACKPACK BAG MONOGRAM M40107,/collections/louis-vuitton/products/ao26751,"298,000",FL 2153,"W 12.2 "" x H 14.6 "" x D 4.3 ""

Handle Drop. 3.5 ""

Strap total length. 21.3 - 40.9 ""","Brown
/
Monogram Canvas, Leather",-,Excellent condition,Excellent condition,-,-,AO26751
LOUIS VUITTON BISTEN 65 ATTACHE HARD CASE TRUNK MONOGRAM M21325,/collections/louis-vuitton/products/ao26750,"328,000",1049735,"W 25.5 x H 17.3 x D 7.1 ""

Handle Drop. 3.5 ""","Brown
/
Monogram Canvas, Leather",Key*1,"There is sign of use overall.

The Monogram canvas is stained.

The hardware in the corner is dented.(2 place)

Handle is scuff.","There is sign of use overall.

Dirt",-,-,AO26750
LOUIS VUITTON VIVA CITE MM SHOULDER BAG MONOGRAM M51164,/collections/louis-vuitton/products/ao26741,"108,000",DU 0064,"W 11.8 x H 5.5 x D 3.5 ""

Strap Drop. 8.7 - 10.6 ""","Brown
/
Monogram canvas, Leather","Manual, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO26741
LOUIS VUITTON TROCADERO 27 SHOULDER BAG MONOGRAM M51274,/collections/louis-vuitton/products/ao26738,"118,000",MB 3067,"W 10.6 x H 6.7 x D 2.8 ""

Strap Drop. 17.7 - 21.3 ""","Brown
/
Monogram canvas, Leather",-,"Excellent condition

Leather has a minor tan.",Excellent condition,-,-,AO26738
LOUIS VUITTON BABYLONE SHOULDER TOTE BAG MONOGRAM M51102,/collections/louis-vuitton/products/ao26631,"79,800",MB 0021,"W 13.8 x H 12.2 x D 4.3 ""

Strap Drop. 12.0 ""","Brown
/
Monogram Canvas, Leather",Dust Bag,"There is sign of use overall.

Strap roots: minor crack",Good condition,-,-,AO26631
LOUIS VUITTON SABLONS HAND BAG RED EPI M52047,/collections/louis-vuitton/products/ao26568,"69,800",TH 0928,"W 10.6 x H 8.3 x D 4.3 ""

Handle Drop. 3.9 ""","Red
/
Epi Leather, Leather",Dust Bag,Good condition,Good condition,-,-,AO26568
LOUIS VUITTON ALMA HAND BAG BLACK MONOGRAM MULTI-COLOR M92646,/collections/louis-vuitton/products/ao26565,"148,000",RC 4191,"W 12.0 x H 9.1 x D 6.3 ""

Handle Drop. 3.9 ""","Black, etc
/
Monogram Multi-Color Canvas, Leather","Cover of Key(No Key), Manual",Good condition,Good condition,-,-,AO26565
LOUIS VUITTON SAINT JACQUES HAND TOTE BAG BLUE EPI M52275,/collections/louis-vuitton/products/ao26510,"69,800",VI 0935,"W 9.1 x H 9.4 x D 3.7 ""

Handle Drop. 5.7 ""","Blue
/
Epi Leather, Leather",-,Good condition,Good condition,-,-,AO26510
LOUIS VUITTON REPORTER PM SHOULDER BAG MONOGRAM M45254,/collections/louis-vuitton/products/ao26515,"108,000",SP 0085,"W 10.6 x H 7.9 x D 4.7 ""

Strap Drop. 12.6 - 23.2 ""","Brown
/
Monogram Canvas, Leather",Dust Bag,Excellent condition,Excellent condition,-,-,AO26515
LOUIS VUITTON VINTAGE SHOULDER BAG MONOGRAM,/collections/louis-vuitton/products/ao26511,"59,800",-,"W 11.0 x H 9.4 x D 1.6 ""

Strap Drop. 18.5 ""","Brown
/
Monogram Canvas, Leather",-,"This bag has a lot of damage.

Leather part: suntanned, scuff, stain and crack.","This bag has a lot of damage.

Leather part: suntanned, scuff, stain and crack.",-,-,AO26511
LOUIS VUITTON PALERMO PM 2WAY HAND TOTE BAG MONOGRAM M40145,/collections/louis-vuitton/products/ao26485,"198,000",VI 0120,"W 11.4 x H 11.0 x D 5.9 ""

Handle Drop. 5.5 ""

Strap Drop. 12.6 - 17.3 ""","Brown
/
Monogram canvas, Leather","Shoulder Strap, Dust Bag",Excellent condition,Excellent condition,-,-,AO26485
