prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
GUCCI GG Pattern Hand Bag Brown Beige,/collections/gucci/products/ao25770,"29,800", 34080 002122," W 5.9 x H 5.5 x D 3.1 ""  Handle Drop. 2.3 """," Brown, Beige / Canvas, Leather", -," Stain, Frayed.There is sign of use overall.", There is sign of use overall., -, -, AO25770
GUCCI GG Shelly Line Mini Clutch Hand Bag Pouch Navy,/collections/gucci/products/ao25772,"29,800",38,"W 7.5 x H 2.0 D 2.9""","Navy ,Red,Ivory
/
PVC, Leather",-,Good condition,Good condition,-,-,AO25772
GUCCI Bamboo Line 2way Hand Bag Brown Crocodile,/collections/gucci/products/ao25290,"298,000",000 46 0188 426,"W 8.7 x H 5.9 x D 3.5 ""

Handle Drop. 4.7 ""

Strap Drop. 21.3 ""","Brown
/
Crocodile Leather, Leather","Shoulder Strap, Manual",Good condition,Good condition,-,-,AO25290
GUCCI Lady Lock 2way Hand Bag Brown,/collections/gucci/products/ao25292,"89,800",000.926.0211,"W 7.9 x H 6.7 x D 3.1 ""

Handle Drop. 3.1 ""

Strap Drop. 20.5 ""","Brown
/
Leather","Cover of Key, Keys*2, Shoulder Strap","Good condition

scratches",Good condition,Pocket has stain,-,AO25292
FENDI Zucca Pattern 2way Hand Bag Box Purse Brown,/collections/gucci/products/ao25113,"178,000",-,"W 6.5 x H 5.7 x D 2.8 ""

Handle Drop. 3.1 ""

Strap Drop. 19.3 ""","Brown
/
Canvas, Leather","Shoulder Strap, Dust Bag","There is sign of use overall.

Leather part: scratches.

Canvas: frayed",Good condition,-,-,AO25113
GUCCI Logos Jackie Hand Bag Purse Black,/collections/gucci/products/ao24955,"49,800",001.3735.001998,"W 10.4 x H 6.3 x D 1.6 ""

Handle Drop. 7.9 ""","Black
/
Leather",Dust Bag,AO24955,"Good condition

minor scratches",Good condition,-,AO24955
GUCCI Bamboo Line Hand Tote Bag Brown,/collections/gucci/products/ao24613,"69,800",000.110.3243,"W 10.6 x H 8.3 x D 3.5 ""

Handle Drop. 4.7 ""","Brown
/
Leather",Manual,AO24613,Good condition,There is sign of use overall.,-,AO24613
GUCCI GG Pattern Shelly Line Travel Shoulder Bag Brown,/collections/gucci/products/ao24131,"69,800",153240 204046,"W 16.5 x H 10.6 x D 9.8 ""

Strap Drop. 9.4 ""","Brown, Red, Green
/
Canvas, Leather",Manual,AO24131,"Good condition

Near zipper rail: discoloration",Good condition,-,AO24131
GUCCI GG Pattern Double Chain Shoulder Bag Black Satin,/collections/gucci/products/ao23955,"49,800",-,"W 8.7 x H 5.5 x D 1.2 ""

Strap Drop.(Single) 17.7 "" /(Double) 9.1 ""","Black
/
Satin",-,AO23955,"Good condition

minor scratches",Good condition,-,AO23955
GUCCI GG Pattern Shelly Line Hand Bag Brown,/collections/gucci/products/ao23824,"39,800",141809 203419,"W 8.7 x H 3.9 x D 8.3 ""

Handle Drop. 4.3 ""","Brown, Red, Green
/
Canvas, Leather",-,AO23824,Good condition,"Good condition

minor discoloration",-,AO23824
GUCCI Bamboo Line 2way Hand Bag Brown,/collections/gucci/products/ao23669,"148,000",000.1014.0188. 0,"W 8.7 x H 5.9 x D 3.1 ""

Handle Drop. 3.9 ""

Strap Drop. 21.7 """,Brown/ Leather,"Shoulder Strap, Manual",Good Condition,Good Condition,-,-,AO23669
GUCCI Shelly Line GG Pattern Horsebit Trunk Hand Bag Brown,/collections/gucci/products/ao23668,"89,800",-,"W 9.4 x H 8.3 x D 2.8 ""

Handle Drop. 1.6 ""","Brown, Red, Green/ Canvas, Leather","Coin Purse, Cover of Key, Key*1","There is sign of use overall

Scratches, Fraed

Metal fittings: Rust","There is sign of use overall

Stains

Metal fittings: Rust",-,-,AO23668
GUCCI GG Pattern Shoulder Bag Beige,/collections/gucci/products/ao23330,"59,800",001.165.0930,"W 7.9 x H 7.5 x D 2.4 ""

Strap Drop. 18.1 - 20.5 ""","Beige, Brown/ PVC, Leather",-,There is sign of use overall,"There is sign of use overall

Minor peeled",-,-,AO23330
GUCCI GG Pattern Shoulder Bag Pochette Brown,/collections/gucci/products/ao23242,"49,800",137386 203998,"W 5.5 x H 4.3 x D 1.2 ""

Strap Drop. 21.7 ""","Brown, White/ Canvas, Leather",Manual,"Good Condition

Strap: Scuff, Dirt",Good Condition,-,-,AO23242
GUCCI GG Pattern Shoulder Bag Pochette Brown,/collections/gucci/products/ao22822,"39,800",120975 1956,"W 5.5 x H 4.3 x D 1.2 ""

Strap Drop. 21.7 ""","Brown, Pink/ Canvas, Leather",-,Good Condition,Good Condition,-,-,AO22822
GUCCI GG Pattern Bow Charm Pouch Brown,/collections/gucci/products/ao22774,"16,800",181879.0416,"W 6.7 x H 3.5 x D 3.5 """,Brown/ Coating Canvas，Leather,-,Excellent Condition,Excellent Condition,-,-,AO22774
GUCCI GG Pattern Shoulder Bag Pochette Brown,/collections/gucci/products/ao22662,"59,800",90470 001998,"W 6.3 x H 6.3 x D 1.6 ""

Strap Drop. 6.3 - 15.7 ""","Brown/ Canvas, Leather",-,"Excellent Condition

Minor scuff, Minor peeled",Excellent Condition,-,-,AO22662
GUCCI Bamboo Line 2way Hand Bag White,/collections/gucci/products/ao22604,"148,000",000.1781.0633,"W 10.6 x H 6.9 x D 3.9 ""

Handle Drop. 4.7 ""

Strap Drop. 18.9 """,White/ Leather,"Shoulder Strap, Mirror, Manual","Good Condition

Stains",Good Condition,-,-,AO22604
GUCCI GG Pattern Hand Bag Black,/collections/gucci/products/ao22603,"39,800",145750 203998,"W 8.7 x H 5.1 x D 2.0 ""

Handle Drop. 6.7 ""","Black/ Canvas, Leather",-,Good Condition,Good Condition,-,-,AO22603
GUCCI Bamboo Line Backpack Hand Bag Brown,/collections/gucci/products/ao21525,"69,800",003.1998.0030,"W 8.3 x H 9.4 x D 3.0 ""

Handle Drop. 2.4 ""

Strap total length. 22.8 - 28.7 """,Brown/ Leather,Manual,Good Condition,Good Condition,-,-,AO21525
GUCCI Bamboo Line 2way Hand Bag Black,/collections/gucci/products/ao21140,"148,000",000.2046.0188,"W 8.7 x H 5.9 x D 3.1 ""

Handle Drop. 4.7 ""

Strap Drop. 21.7 """,Black/ Leather,"Shoulder Strap, Dust Bag, Manual, Mirror",Good Condition,Good Condition,-,-,AO21140
GUCCI Horsebit Shoulder Bag Black,/collections/gucci/products/ao20931,"49,800",001-169-1065,"W 9.8 x H 7.1 x D 2.8 ""

Shoulder Drop. 20.5 - 22.8 """,Black/ Leather,"Manual, Dust Bag","There is sign of use overall

Scratches",Scratches,-,,AO20931
GUCCI Bamboo Line Hand Bag Black,/collections/gucci/products/ao20753,"49,800",0050776 002046,"W 9.4 x H 4.3 x D 2.4 ""

Handle Drop. 5.9 ""","Black/ Satin, Leather",Dust Bag,Excellent Condition,Excellent Condition,-,,AO20753
GUCCI Bamboo Line 2way Mini Hand Bag Red,/collections/gucci/products/ao20750,"69,800",007.122.0232,"W 6.7 x H 5.1 x D 2.8 ""

Handle Drop. 1.6 ""

Strap Drop. 24.8 ""","Red/ Suede, Leather",Shoulder Strap,Good Condition,Good Condition,-,,AO20750
GUCCI GG Shelly Line Waist Bum Bag Purse Black Red Green,/collections/gucci/products/ao20522,"79,800",28566 200047,"W 11.4 x H 6.3 x D 0.8 ""

Belt Size. 33.5 - 46.5 ""","Black, Red, Green
/
Canvas, Leather","Dust Bag, Manual, Spear Cloth",AO20522,Excellent condition,Excellent condition,-,AO20522
GUCCI Bamboo Line 2way Hand Bag Black,/collections/gucci/products/ao19183,"148,000",000.1014.0188.0,"W 8.7 x H 6.7 x D 3.1 ""

Handle Drop. 4.3 ""

Strap Drop. 20.9 ""","Black
/
Leather","Shoulder Strap, Manual",AO19183,Good condition,Good condition,-,AO19183
GUCCI Shelly Line GG Travel Hand Bag Brown,/collections/gucci/products/ao19182,"59,800",89.09.012,"W 15.4 x H 15.7 x D 8.3 ""

Handle Drop. 7.1 ""","Brown, Red, Green
/
PVC, Leather",-,AO19182,Good condition,Good condition,-,AO19182
