productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
Vintage Classic Single Flap Bag Quilted Lambskin Jumbo,Chanel,"
            $3,255
        ",/collections/chanel/products/handbags-chanel-vintage-classic-single-flap-bag-quilted-lambskin-jumbo536099,Very good,". Minor discoloration and wear on base and flap corners, moderate scuffs and indentations on exterior, creasing, scuffs and bubbling underneath flap. Wear in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,3762668,"Handle Drop 13&quot;, Height 8.5&quot;, Width 12&quot;, Depth 3&quot;, Strap Drop 18&quot;",53609/9,HB.CH.VNCS.QULA.JB 
Lax Front Zip Bag Pebbled Leather Small,Chanel,"
            $1,260
        ",/collections/chanel/products/handbags-chanel-lax-front-zip-bag-pebbled-leather-small5377189,Excellent,". Slight wear on exterior edges and in interior, scratches on hardware.",Black,Leather,Silver,"Box, Authenticity Card",8351404,"Handle Drop 6&quot;, Height 7&quot;, Width 11&quot;, Depth 3&quot;",53771/89,HB.CH.LXFZ.PBL.SM 
Vintage Chain Evening Bag Mixed Quilt Lambskin Small,Chanel,"
            $1,905
        ",/collections/chanel/products/handbags-chanel-vintage-chain-evening-bag-mixed-quilt-lambskin-small5377145,Very good,". Minor discoloration and wear on base corners, exterior edges and strap, moderate scuffs and indentations on exterior, peeling on zipper pull. Indentations and wear in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,1212701,"Height 6&quot;, Width 8.5&quot;, Depth 2.5&quot;, Strap Drop 16&quot;",53771/45,HB.CH.VCEV.MXLA.SM 
CC Pocket Backpack Quilted Knit Pluto Glitter Mini,Chanel,"
            $2,660
        ",/collections/chanel/products/handbags-chanel-cc-pocket-backpack-quilted-knit-pluto-glitter-mini5033113,Great,". Odor on exterior. Minor wear on strap, light wear in interior, scratches on hardware.",Black,Textile,Silver,"Authenticity Card, Dust Bag",24890495,"Height 7.5&quot;, Width 7.5&quot;, Depth 5.5&quot;, Strap Drop 13-14&quot;",50331/13,HB.CH.CCPK.KNPG.MI 
Vintage Timeless Boston Bag Caviar Large,Chanel,"
            $2,465
        ",/collections/chanel/products/handbags-chanel-vintage-timeless-boston-bag-caviar-large532841,Very good,". Moderate wear on exterior corners and strap bases, minor wear on handles, strap and in interior. Darkening underneath shoulder pad, scratches and tarnish on hardware.",Black,Leather,Gold,"Luggage Tag, Clochette, With Strap",3816253,"Handle Drop 5.5&quot;, Height 10.5&quot;, Width 19&quot;, Depth 9&quot;, Strap Drop 12-14&quot;",53284/1,HB.CH.VGTB.CAV.LG 
En Vogue Hobo Crumpled Calfskin,Chanel,"
            $5,135
        ",/collections/chanel/products/handbags-chanel-en-vogue-hobo-crumpled-calfskin538941,Excellent,". Minor scuffs and indentations on exterior, slight wear in interior, scratches on hardware.",Black,Leather,Gold Tone,No Accessories,27040764,"Handle Drop 6&quot;, Height 12&quot;, Width 10&quot;, Depth 6&quot;, Strap Drop 17&quot;",53894/1,HB.CH.EVOG.CRCF 
CC Charm Zip Tote Quilted Coated Canvas Medium,Chanel,"
            $1,280
        ",/collections/chanel/products/handbags-chanel-cc-charm-zip-tote-quilted-coated-canvas-medium5377196,Very good,". Light scuffs on base, wear and discoloration on base corners, creasing on exterior, splitting on handle wax edges. Minor wear in interior, scratches on hardware.",Black,Canvas (Coated),Aged Silver,Authenticity Card,17081505,"Handle Drop 8.5&quot;, Height 10&quot;, Width 14&quot;, Depth 4.5&quot;",53771/96,HB.CH.CHZZ.QUCC.ME 
VIntage Charm Weekender Bag Quilted Lambskin Large,Chanel,"
            $2,710
        ",/collections/chanel/products/handbags-chanel-vintage-charm-weekender-bag-quilted-lambskin-large54441131,Good,". Moderate wear, scuffs and creasing on exterior, handles and in interior. Heavy bubbling and indentations on interior base, scratches on hardware.",Black,Leather,Gold,Authenticity Card,4678336,"Handle Drop 10.5&quot;, Height 11.5&quot;, Width 18&quot;, Depth 7&quot;",54441/131,HB.CH.VCWE.QULA.LG 
Medallion Tote Quilted Caviar,Chanel,"
            $1,450
        ",/collections/chanel/products/handbags-chanel-medallion-tote-quilted-caviar5377174,Very good,". Moderate wear and discoloration on base corners, indentations, wear and small ink stain in interior, scratches on hardware.",Neutral,Leather,Gold,Authenticity Card,7760036,"Handle Drop 6.5&quot;, Height 9.5&quot;, Width 11.5&quot;, Depth 5.5&quot;",53771/74,HB.CH.MT.QCA 
Sport Tote Wool and Calfskin North South,Chanel,"
            $1,065
        ",/collections/chanel/products/handbags-chanel-sport-tote-wool-and-calfskin-north-south5457213,Great,". Minor wear and discoloration on base corners, slight pilling and creasing on exterior, scratches on hardware.",Black,"Leather, Wool",Silver,Authenticity Card,16773409,"Handle Drop 9&quot;, Height 16.5&quot;, Width 13&quot;, Depth 6&quot;",54572/13,HB.CH.SPOO.WOKA.NS 
