productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode,fulldescr
"Logo Drawstring Backpack Striped Raffia Large Item Number: 45600/37"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/45600-37_Gucci_Logo_Drawstring_Backpack_Striped_Ra_2D_0002_grande.jpg?v=1575952150"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""570"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-logo-drawstring-backpack-striped-raffia-large4560037?variant=29553116282950""
            }}
</script>
",Gucci,"
            $570
        ",/collections/gucci/products/handbags-gucci-logo-drawstring-backpack-striped-raffia-large4560037,Excellent,. Minor wear on exterior and in interior.,,,,No Accessories,,"Handle Drop 3.5&quot;, Height 17&quot;, Width 15&quot;, Depth 1&quot;, Strap Drop 9.5&quot;",45600/37,,"This Gucci Logo Drawstring Backpack Striped Raffia Large, crafted in white, blue, and red multicolor leather, features dual leather top handles and rope straps that double function as a drawstring, and aged gold tone hardware. Its drawstring closure opens to a red fabric interior"
"Ophidia Top Handle Bag Suede Small Item Number: 45717/5"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/45717-5_20Gucci_20Ophidia_20Top_20Handle_20Bag_20Suede_20Small_2D_0002_grande.jpg?v=1575952417"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""850"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-ophidia-top-handle-bag-suede-small457175?variant=30253405962310""
            }}
</script>
",Gucci,"
            $850
        ",/collections/gucci/products/handbags-gucci-ophidia-top-handle-bag-suede-small457175,Very good,". Wear and discoloration on exterior, marks and wear in interior, scratches on hardware.",,,,With Strap,,"Handle Drop 4&quot;, Height 7.5&quot;, Width 9.5&quot;, Depth 4&quot;, Strap Drop 21.5&quot;",45717/5,,"This Gucci Ophidia Top Handle Bag Suede Small, crafted in blue suede, features dual flat handles, web strap detailing, and gold-tone hardware. Its zip closure opens to a neutral microfiber interior with zip and slip pockets"
"Web Dionysus Bag Embroidered Leather Small Item Number: 46775/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46775-1_20Gucci_20Web_20Dionysus_20Bag_20Embroidered_20Leather_2D_0002_grande.jpg?v=1575952479"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1440"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small467751?variant=30302647910470""
            }}
</script>
",Gucci,"
            $1,440
        ",/collections/gucci/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small467751,Great,". Loose threading on front embroidery, minimal wear in interior, scratches on hardware.",,,,Dust Bag,,"Handle Drop 8.5&quot;, Height 6&quot;, Width 11&quot;, Depth 3&quot;, Strap Drop 14.5&quot;",46775/1,,"This Gucci Web Dionysus Bag Embroidered Leather Small, crafted from red leather, features chain link strap, textured tiger head spur detail on its flap, floral embroidery, and aged gold and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral printed fabric interior divided into two compartments with middle zip compartment"
"Dionysus Bag Python Medium Item Number: 46751/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46751-1_20Gucci_20Dionysus_20Bag_20Python_20Medium_2D_0002_grande.jpg?v=1575952484"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1310"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-python-medium467511?variant=30302667833414""
            }}
</script>
",Gucci,"
            $1,310
        ",/collections/gucci/products/handbags-gucci-dionysus-bag-python-medium467511,Very good,". Moderate lifting of scales on exterior, creasing and indentations underneath flap, minor wear in interior, scratches on hardware.",,,,No Accessories,,"Handle Drop 8.5&quot;, Height 8.5&quot;, Width 12&quot;, Depth 4&quot;, Strap Drop 15&quot;",46751/1,,"This Gucci Dionysus Bag Python Medium, crafted from genuine blue, red and multicolor python, features chain link strap, textured tiger head spur detail on its flap, and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral microfiber interior with middle zip compartment"
"Dionysus Bag Embellished GG Coated Canvas Small Item Number: 47457/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47457-1_20Gucci_20Dionysus_20Bag_20Embellished_20GG_20Coated_20C_2D_0002_grande.jpg?v=1575952547"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1420"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-embellished-gg-coated-canvas-small474571?variant=30325478981702""
            }}
</script>
",Gucci,"
            $1,420
        ",/collections/gucci/products/handbags-gucci-dionysus-bag-embellished-gg-coated-canvas-small474571,Great,". Minor wear near base, slight cracking on flap wax edges, darkening and scuffs underneath flap and in interior, scratches on hardware.",,,,No Accessories,,"Handle Drop 8.5&quot;, Height 7&quot;, Width 11&quot;, Depth 3&quot;, Strap Drop 14.5&quot;",47457/1,,"This Gucci Dionysus Bag Embellished GG Coated Canvas Small, crafted from brown multicolor embellished GG coated canvas, features chain link strap, textured tiger head spur detail on its flap, and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral suede interior with two compartments and middle zip compartment"
"Wallet on Chain Limited Edition Printed Leather Item Number: 45272/5"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/45272-5_20Gucci_20Wallet_20on_20Chain_20Limited_20Edition_20Prin_2D_0002_grande.jpg?v=1575952497"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""825"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-wallet-on-chain-limited-edition-printed-leather452725?variant=30302714298438""
            }}
</script>
",Gucci,"
            $825
        ",/collections/gucci/products/handbags-gucci-wallet-on-chain-limited-edition-printed-leather452725,Excellent,". Light wear on base corners, small mark on base. Creasing underneath flap, minimal wear in interior, scratches on hardware.",,,,"Box, With Strap",,"Handle Drop 23&quot;, Height 5.5&quot;, Width 8&quot;, Depth 2&quot;",45272/5,,"This Gucci Wallet on Chain Limited Edition Printed Leather, crafted from pink printed leather, features chain link strap and gunmetal-tone hardware. Its snap closure opens to a pink fabric and leather interior with multiple card slots and zip pocket"
"Web Dionysus Bag Embroidered Leather Small Item Number: 47103/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47103-1_20Gucci_20Web_20Dionysus_20Bag_20Embroidered_20Leather_2D_0003_grande.jpg?v=1575952562"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1520"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small471031?variant=30326242148422""
            }}
</script>
",Gucci,"
            $1,520
        ",/collections/gucci/products/handbags-gucci-web-dionysus-bag-embroidered-leather-small471031,Excellent,". Bubbling underneath flap, slight wear in interior, scratches on hardware.",,,,Dust Bag,,"Handle Drop 8&quot;, Height 6.5&quot;, Width 11&quot;, Depth 3.5&quot;, Strap Drop 13&quot;",47103/1,,"This Gucci Web Dionysus Bag Embroidered Leather Small, crafted from red leather, features chain link strap, textured tiger head spur detail on its flap, floral embroidery, and aged gold and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral printed fabric interior divided into two compartments with middle zip compartment"
"Bamboo Tassel Backpack Leather Medium Item Number: 44207/3"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/44207-3_20Gucci_20Bamboo_20Tassel_20Backpack_20Leather_20Mediu_2D_0002_grande.jpg?v=1575952507"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""575"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-bamboo-tassel-backpack-leather-medium442073?variant=30302735138886""
            }}
</script>
",Gucci,"
            $575
        ",/collections/gucci/products/handbags-gucci-bamboo-tassel-backpack-leather-medium442073,Fair,". Loss of shape on exterior, odor in interior. Small glue stains on exterior and interior opening, cracking on opening trim and flap wax edges. Moderate wear and stains on straps and in interior, scratches on hardware.",,,,No Accessories,,"Handle Drop 3&quot;, Height 11&quot;, Width 12&quot;, Depth 4&quot;, Strap Drop 8-12&quot;",44207/3,,"This Gucci Bamboo Tassel Backpack Leather Medium, crafted from pink leather, features bamboo top handle, adjustable leather straps, two exterior pockets with bamboo closure, hanging leather tassels, and silver-tone hardware. Its buckle and drawstring closure opens to a neutral fabric interior with slip pockets"
"Dionysus Bag Embroidered GG Coated Canvas with Python Small Item Number: 46827/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46827-1_20Gucci_20Dionysus_20Bag_20Embroidered_20GG_20Coated_20C_2D_0002_grande.jpg?v=1575952513"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1455"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-embroidered-gg-coated-canvas-with-python-small468271?variant=30302742052934""
            }}
</script>
",Gucci,"
            $1,455
        ",/collections/gucci/products/handbags-gucci-dionysus-bag-embroidered-gg-coated-canvas-with-python-small468271,Great,". Slight lifting of scales on side, small indentations and minor creasing underneath flap. Minimal wear in interior, scratches on hardware.",,,,Dust Bag,,"Height 6.5&quot;, Width 11&quot;, Depth 3&quot;, Strap Drop 8.5-14.5&quot;",46827/1,,"This Gucci Dionysus Bag Embroidered GG Coated Canvas with Python Small, crafted from brown embroidered GG coated canvas with genuine python, features a chain link strap, multicolored embroidered detailing, and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral microfiber interior with middle zip compartment"
"Dionysus Bag Embellished Leather Mini Item Number: 46932/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46932-1_20Gucci_20Dionysus_20Bag_20Embellished_20Leather_20Min_2D_0002_grande.jpg?v=1575952581"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1345"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-embellished-leather-mini469321?variant=30326675734598""
            }}
</script>
",Gucci,"
            $1,345
        ",/collections/gucci/products/handbags-gucci-dionysus-bag-embellished-leather-mini469321,Great,". Minor scuffs on exterior, small glue stains on closure, creasing and scuffs underneath flaps. Light wear in interior, scratches on hardware.",,,,No Accessories,,"Height 6&quot;, Width 8&quot;, Depth 3&quot;, Strap Drop 13-23&quot;",46932/1,,"This Gucci Dionysus Bag Embellished Leather Mini, crafted from red and multicolor embellished leather, features chain link strap, textured tiger head spur detail on its flap, and aged silver-tone hardware. Its hidden push-pin closure opens to a neutral fabric interior"
