productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
"Zulu Tote Striped Canvas PM Item Number: 46582/6"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46582-6_20Hermes_20Zulu_20Tote_20Striped_20Canvas_20PM_2D_0002_grande.jpg?v=1575952311"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""405"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-zulu-tote-striped-canvas-pm465826?variant=29967556411462""
            }}
</script>
",Hermes,"
            $405
        ",/collections/hermes/products/handbags-hermes-zulu-tote-striped-canvas-pm465826,Great,". Minor wear on base corners and handles, faint scratches on hardware.",,,,Pochette,,"Handle Drop 9.5&quot;, Height 11&quot;, Width 12&quot;, Depth 11.5&quot;",46582/6,
"Garden Party Tote Toile and Leather 36 Item Number: 45702/10"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/45702-10_Hermes_Garden_Party_Tote_Toile_and_Leathe_2D_0002_grande.jpg?v=1575952223"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1210"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-garden-party-tote-toile-and-leather-364570210?variant=29579196596294""
            }}
</script>
",Hermes,"
            $1,210
        ",/collections/hermes/products/handbags-hermes-garden-party-tote-toile-and-leather-364570210,Great,". Minor wear on base corners, loss of shape, wear and discoloration on handles, scratches on hardware.",,,,Dust Bag,,"Handle Drop 5.5&quot;, Height 10.5&quot;, Width 14&quot;, Depth 6.5&quot;",45702/10,
"Sac a Depeches Bag Swift 27 Item Number: 45658/29"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/45658-29_Hermes_Sac_a_Depeches_Bag_Swift_27_2D_0002_grande.jpg?v=1575952229"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1145"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-sac-a-depeches-bag-swift-274565829?variant=29579200036934""
            }}
</script>
",Hermes,"
            $1,145
        ",/collections/hermes/products/handbags-hermes-sac-a-depeches-bag-swift-274565829,Fair,". Heavy scuffs, indentations and creasing on exterior and underneath flap, pilling, scuffs and wear in interior, scratches on hardware.",,,,Dust Bag,,"Handle Drop 1&quot;, Height 8&quot;, Width 10.5&quot;, Depth 2.5&quot;",45658/29,
"Birkin Handbag Rouge Vif Clemence with Gold Hardware 35 Item Number: 46532/21"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46532-21_20Hermes_20Birkin_20Handbag_20Red_20Clemence_20with_20G_2D_0002_grande.jpg?v=1575952487"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""7460"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-red-clemence-with-gold-hardware-354653221?variant=30302677565510""
            }}
</script>
",Hermes,"
            $7,460
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-red-clemence-with-gold-hardware-354653221,Good,". Moderate loss of shape on exterior. Minor wear on base corners and handles, small indentations and scuffs in interior, scratches on hardware.",,,,"Keys, Lock, Clochette",,"Handle Drop 5&quot;, Height 10&quot;, Width 13&quot;, Depth 7&quot;",46532/21,
"Birkin Handbag Brulee Togo with Gold Hardware 35 Item Number: 46947/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46947-1_20Hermes_20Birkin_20Handbag_20Brown_20Togo_20with_20Gold_2D_0002_grande.jpg?v=1575952490"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""6505"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-brown-togo-with-gold-hardware-35469471?variant=30302691131462""
            }}
</script>
",Hermes,"
            $6,505
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-brown-togo-with-gold-hardware-35469471,Very good,". Light wear on base corners, slight cracking on handle wax edges, scuffs and small indentations in interior, scratches on hardware.",,,,No Accessories,,"Handle Drop 4&quot;, Height 10.5&quot;, Width 14&quot;, Depth 7&quot;",46947/1,
"Birkin Handbag Bicolor Togo with Ruthenium Hardware 35 Item Number: 46532/12"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46532-12_20Hermes_20Birkin_20Handbag_20Bicolor_20Togo_20with_20P_2D_0002_grande.jpg?v=1575952492"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""7635"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-bicolor-togo-with-palladium-hardware-354653212?variant=30302697193542""
            }}
</script>
",Hermes,"
            $7,635
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-bicolor-togo-with-palladium-hardware-354653212,Very good,". Slight loss of shape on exterior. Minor wear on base corners and handles, splitting on closure belt wax edges, small indentations in interior, scratches on hardware.",,,,"Keys, Lock, Clochette",,"Handle Drop 4&quot;, Height 10.5&quot;, Width 14&quot;, Depth 7&quot;",46532/12,
"Birkin Handbag Etoupe Clemence with Palladium Hardware 35 Item Number: 46532/19"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46532-19_20Hermes_20Birkin_20Handbag_20Grey_20Clemence_20with_2D_0002_grande.jpg?v=1575952593"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""9030"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-grey-clemence-with-palladium-hardware-354653219?variant=30326705750086""
            }}
</script>
",Hermes,"
            $9,030
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-grey-clemence-with-palladium-hardware-354653219,Great,". Creasing on exterior, light wear in interior, scratches on hardware.",,,,"Keys, Lock, Dust Bag, Clochette",,"Handle Drop 4&quot;, Height 10.5&quot;, Width 14&quot;, Depth 7&quot;",46532/19,
"Birkin Handbag Bleu Saphir Clemence with Gold Hardware 35 Item Number: 47661/73"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47661-73_20Hermes_20Birkin_20Handbag_20Blue_20Clemence_20with_2D_0002_grande.jpg?v=1575952651"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""7460"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-blue-clemence-with-gold-hardware-354766173?variant=30551385899078""
            }}
</script>
",Hermes,"
            $7,460
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-blue-clemence-with-gold-hardware-354766173,Good,". Loss of shape on exterior. Wear on base corners and along opening trims, cracking on handle wax edges, scuffs in interior, scratches on hardware.",,,,"Keys, Lock, Dust Bag, Clochette",,"Handle Drop 4.5&quot;, Height 9.5&quot;, Width 13&quot;, Depth 7&quot;",47661/73,
"Birkin Handbag Noir Shiny Porosus Crocodile with Gold Hardware 30 Item Number: 46948/2"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46948-2_20Hermes_20Birkin_20Handbag_20Black_20Shiny_20Porosus_2D_0002_grande.jpg?v=1575952609"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""32990"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-black-shiny-porosus-crocodile-with-gold-hardware-30469482?variant=30326880436294""
            }}
</script>
",Hermes,"
            $32,990
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-black-shiny-porosus-crocodile-with-gold-hardware-30469482,Great,". Wear on base corners, slight splitting on opening corner and flap wax edges. Light scuffs in interior, scratches on hardware.",,,,"Keys, Lock, Dust Bag, Clochette",,"Handle Drop 4&quot;, Height 10&quot;, Width 11.5&quot;, Depth 7&quot;",46948/2,
"Birkin Handbag Noir Togo with Palladium Hardware 35 Item Number: 46846/117"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/46846-117_Hermes_Birkin_Handbag_Black_Togo_with_Pa_2D_0002_grande.jpg?v=1575952618"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""7460"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-hermes-birkin-handbag-black-togo-with-palladium-hardware-3546846117?variant=30326897115206""
            }}
</script>
",Hermes,"
            $7,460
        ",/collections/hermes/products/handbags-hermes-birkin-handbag-black-togo-with-palladium-hardware-3546846117,Fair,". Loss of shape on exterior, heavy splitting on handle wax edges, moderate scuffs on interior base, scratches on hardware.",,,,"Keys, Lock, Clochette",,"Handle Drop 4.5&quot;, Height 11&quot;, Width 14&quot;, Depth 7&quot;",46846/117,
